JPGNumber,Race 0 Bubble 0,Race 0 Bubble 1,Race 0 Bubble 2
2062,0,1,0
2064,1,0,0
2066,0,1,0
2068,0,1,0
2070,1,0,0
2072,0,1,0
2074,1,0,0
2076,0,1,0
2078,0,1,0
2080,1,0,0
2082,0,6,0
2084,0,1,0
2086,0,1,0
2088,0,1,0
2090,0,1,0
2092,0,1,0
2094,0,1,0
2096,1,0,0
2098,0,1,0
2100,0,1,0
2102,0,0,0
2104,0,0,0
2106,0,1,0
2108,1,0,0
2110,0,1,0
2112,0,1,0
2114,0,1,0
2116,0,1,0
2118,0,1,0
2120,0,1,0
2122,0,1,0
2124,0,0,0
2126,0,1,0
2128,0,1,0
2130,0,4,0
2132,0,1,0
2134,0,1,0
2136,0,1,0
2138,0,6,0
2140,1,0,0
2142,0,1,0
2144,0,1,0
2146,0,1,0
2148,1,0,0
2150,0,1,0
2152,0,1,0
2154,0,0,0
2156,0,1,0
2158,1,0,0
2160,1,0,0
2162,0,2,0
2164,0,1,0
2166,1,0,0
2168,0,1,0
2170,1,0,0
2172,4,0,0
2174,1,0,0
2176,0,1,0
2178,0,1,0
2180,0,4,0
2182,0,0,0
2184,1,0,0
2186,1,0,0
2188,1,0,0
2190,0,1,0
2192,1,0,0
2194,4,0,0
2196,0,1,0
2198,0,1,0
2200,0,1,0
2202,0,1,0
2204,0,1,0
2206,0,1,0
2208,0,1,0
2210,0,1,0
2212,0,1,0
2214,0,1,0
2216,0,1,0
2218,0,1,0
2220,0,1,0
2222,0,1,0
2224,1,0,0
2226,0,2,0
2228,0,1,0
2230,0,1,0
2232,1,0,0
2234,1,0,0
2236,0,1,0
2238,0,1,0
2240,0,1,0
2242,0,1,0
2244,0,1,0
2246,1,0,0
2248,1,0,0
2250,1,0,0
2252,0,1,0
2254,0,1,0
2256,0,1,0
2258,1,0,0
2260,1,0,0
2262,0,1,0
2264,0,1,0
2266,0,1,0
2268,0,1,0
2270,0,1,0
2272,0,1,0
4358,0,1,0
4360,0,1,0
4362,1,0,0
4364,1,0,0
4366,0,1,0
4368,0,1,0
4370,1,0,0
4372,1,0,0
4374,1,0,0
4376,1,0,0
4378,1,0,0
4380,1,0,0
4382,1,0,0
4384,0,0,0
4386,0,1,0
4388,0,1,0
4390,1,0,0
4392,1,0,0
4394,0,0,1
4396,1,0,0
4398,0,1,0
4400,0,4,0
4402,0,1,0
4404,0,1,0
4406,0,1,0
4408,1,0,0
4410,1,0,0
4412,1,0,0
4414,1,0,0
4416,1,0,0
4418,0,1,0
4420,0,1,0
4422,0,1,0
4424,0,1,0
4426,0,1,0
4428,0,1,0
4430,0,1,0
4432,0,1,0
4434,1,0,0
4436,1,0,0
4438,1,0,0
4440,0,1,0
4442,0,1,0
4444,1,0,0
4446,0,1,0
4448,1,0,0
4450,1,0,0
4452,1,0,0
4574,0,1,0
4576,1,0,0
4578,0,4,0
4580,1,0,0
4582,0,1,0
4584,0,1,0
4586,1,0,0
4588,1,0,0
4590,1,0,0
4592,0,1,0
4594,0,1,0
4596,0,1,0
4598,1,0,0
4600,0,1,0
4602,0,1,0
4604,1,0,0
4606,1,0,0
4608,0,1,0
4610,0,1,0
4612,0,1,0
4614,0,1,0
5100,1,0,0
5102,2,0,0
5104,1,0,0
5106,6,0,0
5108,1,0,0
5110,0,1,0
5112,1,0,0
5114,1,0,0
5116,1,0,0
5118,1,0,0
5120,0,1,0
5122,1,0,0
5124,0,0,0
5126,0,1,0
5128,0,1,0
5130,0,1,0
5132,1,0,0
5134,1,0,0
5136,1,0,0
5138,0,1,0
5140,1,0,0
5142,1,0,0
5144,0,1,0
5146,1,0,0
5148,1,0,0
5150,1,0,0
5152,1,0,0
5154,0,1,0
5156,1,0,0
5158,1,0,0
5160,1,0,0
5162,0,1,0
5164,0,1,0
5166,1,0,0
5168,1,0,0
5170,1,0,0
5172,1,0,0
5174,1,0,0
5176,0,1,0
5178,0,1,0
5180,0,1,0
5182,1,0,0
5184,0,1,0
5186,0,1,0
5188,2,0,0
5190,1,0,0
5192,0,1,0
5194,1,0,0
5196,1,0,0
5198,1,0,0
5200,1,0,0
5202,1,0,0
5204,0,1,0
5206,0,1,0
5208,0,1,0
5210,0,1,0
5212,0,1,0
5214,0,2,0
5216,0,1,0
5218,1,0,0
5220,0,1,0
5222,1,0,0
5224,0,1,0
5226,1,0,0
5228,0,1,0
5230,0,1,0
5232,0,1,0
5234,0,1,0
5236,1,0,0
5238,0,1,0
5240,0,1,0
5242,1,0,0
5244,0,1,0
5246,0,1,0
5248,0,1,0
5250,0,1,0
5252,0,0,0
5254,0,1,0
6578,0,1,0
6580,0,1,0
6582,0,1,0
6584,1,0,0
6586,0,1,0
6588,1,0,0
6590,0,5,0
6592,0,2,0
6594,0,1,0
6596,1,0,0
6598,0,1,0
6600,0,1,0
6602,0,1,0
6604,0,1,0
6606,0,1,0
6608,1,0,0
6610,0,0,0
6612,1,0,0
6614,0,0,0
6616,0,1,0
6618,0,1,0
6620,0,1,0
6622,0,1,0
6624,0,0,0
6626,0,1,0
6628,0,1,0
6630,1,0,0
6632,1,0,0
6634,1,0,0
6636,0,1,0
6638,1,0,0
6640,0,1,0
6642,1,0,0
6644,1,0,0
6646,0,1,0
6648,0,1,0
6650,1,0,0
6652,1,0,0
6654,0,1,0
6656,0,1,0
6658,0,1,0
6660,0,1,0
6662,0,1,0
6664,0,0,1
6666,1,0,0
6668,1,0,0
6670,0,1,0
6672,0,1,0
6674,0,1,0
6676,1,0,0
6678,0,0,1
6680,0,1,0
6682,1,0,0
6684,1,0,0
6686,0,1,0
6688,1,0,0
6690,0,1,0
6692,0,1,0
6694,0,1,0
6696,0,1,0
6698,0,1,0
6700,0,1,0
6702,1,0,0
6704,0,1,0
6706,0,4,0
6708,0,1,0
6710,0,1,0
6712,1,0,0
6714,0,1,0
6716,0,1,0
6718,1,0,0
6720,0,1,0
6722,0,1,0
6724,0,1,0
6726,1,0,0
6728,0,4,0
6730,0,1,0
6732,1,0,0
6734,0,1,0
6736,1,0,0
6738,1,0,0
6740,1,0,0
6742,4,0,0
6744,0,1,0
6746,0,1,0
6748,1,0,0
6750,1,0,0
6752,1,0,0
6754,1,0,0
6756,0,1,0
6758,0,1,0
6760,0,1,0
6762,1,0,0
6764,0,1,0
6766,0,1,0
6768,1,0,0
6770,0,1,0
6772,1,0,0
6774,1,0,0
6776,0,1,0
6778,1,0,0
6780,0,1,0
6782,0,1,0
6784,1,0,0
6786,1,0,0
6788,1,0,0
6790,1,0,0
6792,1,0,0
6794,0,1,0
6796,0,1,0
6798,1,0,0
6800,1,0,0
6802,0,1,0
6804,0,1,0
6806,1,0,0
6808,1,0,0
6810,0,1,0
6812,0,1,0
6814,0,1,0
6816,0,1,0
6818,4,0,0
6820,0,0,0
6822,1,0,0
6824,0,1,0
6826,0,1,0
6828,0,1,0
6830,1,0,0
6832,0,1,0
6834,0,1,0
6836,1,0,0
6838,0,0,0
6840,0,1,0
6842,0,1,0
6844,0,1,0
6846,0,1,0
6848,1,0,0
6850,0,1,0
6852,0,1,0
6854,0,1,0
6856,0,1,0
6858,4,0,0
6860,1,0,0
6862,0,1,0
6864,1,0,0
6866,0,1,0
6868,0,1,0
6870,0,1,0
6872,1,0,0
6874,1,0,0
6876,0,1,0
6878,0,1,0
6880,0,1,0
6882,1,0,0
6884,0,1,0
6886,0,1,0
6888,1,0,0
6890,0,1,0
6892,0,1,0
7072,4,0,0
7074,0,1,0
7076,0,1,0
7078,0,1,0
7080,0,1,0
7082,0,1,0
7084,0,6,0
7086,0,1,0
7088,0,0,0
7090,0,0,0
7092,1,0,0
7094,1,0,0
7096,0,1,0
7098,0,1,0
7100,0,1,0
7102,0,1,0
7104,0,1,0
7106,0,1,0
7108,0,1,0
7110,1,0,0
7112,0,1,0
7114,1,0,0
7116,4,0,0
7118,0,1,0
7120,1,0,0
7122,1,0,0
7124,1,0,0
7126,1,0,0
7128,1,0,0
7130,1,0,0
7132,0,1,0
7134,0,0,0
7136,1,0,0
7138,4,0,0
7140,1,0,0
7142,1,0,0
7144,0,1,0
7146,0,1,0
7148,1,0,0
7150,0,1,0
7152,0,4,0
7154,1,0,0
7156,1,0,0
7158,0,1,0
7160,1,0,0
7162,1,0,0
7164,0,1,0
7166,0,1,0
7168,0,1,0
7170,0,1,0
7172,0,1,0
7174,0,1,0
7176,0,1,0
7178,0,1,0
7180,0,1,0
7182,0,1,0
7184,0,1,0
7186,0,1,0
7188,0,1,0
7190,0,1,0
7192,0,1,0
7194,0,1,0
7196,0,1,0
7198,0,1,0
7200,0,1,0
7202,0,1,0
7204,1,0,0
7206,0,1,0
7208,1,0,0
7210,0,1,0
7212,1,0,0
7214,1,0,0
7216,1,0,0
7218,1,0,0
7220,0,1,0
7222,1,0,0
7224,0,1,0
7226,0,1,0
7228,1,0,0
7230,0,1,0
7232,0,1,0
7234,0,1,0
7236,0,1,0
7238,0,1,0
7240,1,0,0
7242,1,0,0
7244,1,0,0
7246,1,0,0
7248,1,0,0
7250,0,1,0
7252,1,0,0
7254,0,1,0
7256,0,1,0
7258,0,1,0
7260,1,0,0
7262,1,0,0
7264,1,0,0
7266,4,0,0
7268,1,0,0
7270,1,0,0
7272,0,1,0
7274,0,1,0
7276,0,1,0
7278,1,0,0
7342,0,1,0
7344,0,1,0
7346,0,1,0
7348,1,0,0
7350,1,0,0
7352,1,0,0
7354,0,1,0
7356,0,1,0
7358,1,0,0
7360,1,0,0
7362,0,1,0
7364,0,1,0
7366,1,0,0
7368,0,1,0
7370,1,0,0
7372,0,1,0
7374,0,1,0
7376,0,1,0
7378,1,0,0
7380,1,0,0
7382,0,1,0
7384,0,1,0
7386,0,1,0
7388,0,1,0
7390,0,1,0
7392,1,0,0
7394,0,1,0
7396,0,1,0
7398,1,0,0
7400,4,0,0
7402,0,1,0
7404,0,1,0
7406,0,1,0
