JPGNumber,Race 0 Bubble 0,Race 0 Bubble 1,Race 0 Bubble 2,Race 0 Bubble 3,Race 0 Bubble 4,Race 0 Bubble 5,Race 0 Bubble 6
1603,1,1,1,0,0,0,0
1605,0,1,1,1,0,0,0
1607,0,1,1,1,0,0,0
1609,0,0,1,0,0,0,0
1611,1,0,1,1,0,0,0
1613,0,1,1,1,0,0,0
1615,0,1,1,1,0,0,0
1617,1,1,1,0,0,0,0
1619,1,0,0,1,0,0,0
1621,0,0,0,1,0,0,0
1623,0,0,0,4,0,0,0
1625,0,0,0,1,0,0,0
1627,0,0,0,1,0,0,0
1629,0,2,2,2,0,0,0
1631,0,2,2,2,0,0,0
1633,0,1,1,1,0,0,0
1635,0,4,4,4,0,0,0
1637,0,1,1,1,0,0,0
1639,0,0,0,0,0,0,0
1641,0,4,4,4,0,0,0
1643,0,4,4,4,0,0,0
1645,1,1,1,0,0,0,0
1647,0,0,0,2,0,0,0
1649,4,4,4,0,0,0,0
1651,0,1,1,1,0,0,0
1653,0,0,0,2,0,0,0
1655,0,1,1,1,0,0,0
1657,1,0,1,1,0,0,0
1659,1,1,1,0,0,0,0
1661,0,1,1,1,0,0,0
1663,0,1,1,1,0,0,0
1665,4,0,4,0,0,0,0
1667,1,0,1,1,0,0,0
1669,0,1,1,1,0,0,0
1671,1,0,1,1,0,0,0
1673,0,0,0,1,0,0,0
1675,1,1,1,0,0,0,0
1677,1,0,0,1,0,0,0
1679,0,1,1,1,0,0,0
1681,0,1,1,0,0,0,0
1683,1,0,1,1,0,0,0
1685,0,0,0,0,0,0,0
1687,0,0,0,0,0,0,0
1689,0,0,0,0,0,0,0
2711,1,0,1,1,0,0,0
2713,1,0,1,1,0,0,0
2715,0,0,0,0,1,0,0
2717,1,1,1,0,0,0,0
2719,0,1,1,1,0,0,0
2721,0,1,1,1,0,0,0
2723,1,0,1,1,0,0,0
2725,1,0,1,1,0,0,0
2727,0,1,1,1,0,0,0
2729,0,1,1,1,0,0,0
2731,1,1,1,0,0,0,0
2733,1,1,0,1,0,0,0
2735,0,1,1,1,0,0,0
2737,0,1,1,1,0,0,0
2739,1,1,1,0,0,0,0
2741,4,4,4,0,0,0,0
2743,0,4,4,4,0,0,0
2745,0,4,4,4,0,0,0
2747,0,1,1,1,0,0,0
2749,0,4,4,4,0,0,0
2751,1,1,0,1,0,0,0
2753,2,0,2,0,0,0,0
2755,1,1,1,0,0,0,0
2757,0,0,0,0,0,0,0
2759,1,1,1,0,0,0,0
2761,0,1,1,1,0,0,0
2763,0,1,1,1,0,0,0
2765,0,1,1,1,0,0,0
2767,1,1,0,1,0,0,0
2769,1,1,1,0,0,0,0
2771,0,1,1,1,0,0,0
2773,0,1,1,0,0,0,0
2775,0,1,1,1,0,0,0
2777,0,1,1,1,0,0,0
2779,0,1,1,1,0,0,0
2781,5,5,0,0,0,0,0
2783,1,1,0,1,0,0,0
2785,1,0,0,0,0,0,0
2787,1,0,1,1,0,0,0
2789,1,0,1,1,0,0,0
2791,0,1,1,1,0,0,0
2793,1,1,1,0,0,0,0
2795,1,1,0,1,0,0,0
2797,1,0,0,0,0,0,0
2799,0,6,6,6,0,0,0
2801,0,0,0,1,0,0,0
5449,1,1,0,0,0,0,0
5451,0,0,1,0,0,0,0
5453,0,0,1,0,0,0,0
5455,0,1,1,0,0,0,0
5457,1,1,0,1,0,0,0
5459,1,1,0,1,0,0,0
34765,0,1,1,1,0,0,0
34767,1,0,0,0,0,0,0
34769,0,1,1,1,0,0,0
34771,0,1,1,1,0,0,0
34773,2,0,0,0,0,0,0
34775,0,1,1,1,0,0,0
34777,0,1,1,1,0,0,0
34779,0,1,1,1,0,0,0
34781,1,0,1,1,0,0,0
34783,0,0,0,1,0,0,0
34785,0,0,0,1,0,0,0
34787,0,0,0,1,0,0,0
34789,0,1,1,1,0,0,0
