JPGNumber,Race 0 Bubble 0,Race 0 Bubble 1,Race 0 Bubble 2,Race 0 Bubble 3,Race 0 Bubble 4,Race 0 Bubble 5,Race 0 Bubble 6
1957,0,1,1,1,0,0,0
1959,0,0,0,2,0,0,0
1961,1,1,0,1,0,0,0
1963,1,1,1,0,0,0,0
1965,0,0,1,0,0,0,0
1967,0,1,0,1,0,0,0
1969,0,0,0,0,1,0,0
1971,1,1,0,1,0,0,0
1973,0,1,1,1,0,0,0
1975,0,2,2,2,0,0,0
1977,1,0,1,1,0,0,0
1979,1,1,0,1,0,0,0
1981,1,0,1,1,0,0,0
1983,1,1,1,0,0,0,0
1985,0,1,1,1,0,0,0
1987,0,1,1,1,0,0,0
5577,1,0,1,1,0,0,0
5579,1,1,1,0,0,0,0
5581,1,1,0,1,0,0,0
5583,0,1,1,1,0,0,0
5585,0,1,0,1,0,0,0
5587,0,1,0,0,0,0,0
5589,0,0,0,5,0,0,0
5591,0,0,0,1,0,0,0
5593,0,1,1,1,0,0,0
5595,0,0,1,0,0,0,0
5597,0,0,1,0,0,0,0
13549,1,1,0,1,0,0,0
13551,1,1,0,1,0,0,0
13553,1,1,0,1,0,0,0
13555,1,0,1,1,0,0,0
13557,1,0,1,1,0,0,0
13559,1,1,1,0,0,0,0
13561,0,0,1,1,0,0,0
13563,0,0,0,1,0,0,0
13565,1,1,1,0,0,0,0
13567,0,0,0,1,0,0,0
13569,1,0,1,1,0,0,0
13571,0,0,0,1,0,0,0
13573,0,0,0,1,0,0,0
13575,1,1,0,1,0,0,0
13577,1,1,1,0,0,0,0
13579,0,0,0,1,0,0,0
13581,0,0,0,1,0,0,0
13583,0,1,0,0,0,0,0
13585,0,0,0,0,0,0,0
13587,0,0,0,0,0,0,0
13589,1,0,1,1,0,0,0
13591,0,1,1,1,0,0,0
13593,0,2,0,0,0,0,0
13595,4,4,4,0,0,0,0
13597,0,0,1,0,0,0,0
13599,0,1,1,1,0,0,0
13601,1,0,1,1,0,0,0
13603,1,1,1,0,0,0,0
13605,1,1,1,0,0,0,0
13607,0,0,1,0,0,0,0
13609,1,1,1,0,0,0,0
13633,1,1,1,0,0,0,0
13635,1,1,1,0,0,0,0
13637,0,0,0,1,0,0,0
13639,0,1,0,0,0,0,0
31999,0,1,1,1,0,0,0
32001,1,1,1,0,0,0,0
32003,1,0,1,1,0,0,0
32005,1,1,0,1,0,0,0
32007,0,5,5,5,0,0,0
32009,1,0,1,1,0,0,0
32011,1,1,0,1,0,0,0
32013,0,0,1,1,1,0,0
32015,1,1,1,0,0,0,0
32017,0,2,2,2,0,0,0
32019,0,0,0,0,0,0,0
32021,1,0,1,1,0,0,0
32023,1,1,0,1,0,0,0
32025,1,1,1,0,0,0,0
32027,0,4,4,4,0,0,0
32029,0,1,1,1,0,0,0
32031,1,1,1,0,0,0,0
32033,0,1,1,1,0,0,0
32035,0,0,1,0,0,0,0
32037,1,1,0,1,0,0,0
32039,1,1,0,6,0,0,0
32041,0,0,1,0,0,0,0
32043,0,1,0,0,0,0,0
32045,0,1,0,1,0,0,0
32047,1,0,1,1,0,0,0
32049,1,0,0,0,0,0,0
32051,0,1,5,1,0,0,0
32053,0,1,1,1,0,0,0
32055,1,1,0,1,0,0,0
32057,1,1,0,1,0,0,0
32059,0,1,1,1,0,0,0
32061,1,1,0,1,0,0,0
32063,5,5,0,5,0,0,0
32065,0,0,0,1,0,0,0
32067,1,1,1,0,0,0,0
32069,1,1,1,0,0,0,0
32071,6,6,6,0,0,0,0
32073,1,1,0,1,0,0,0
32075,1,1,1,0,0,0,0
32077,1,1,1,0,0,0,0
32079,1,1,0,1,0,0,0
32081,1,0,1,1,0,0,0
32083,0,1,1,1,0,0,0
32085,1,1,0,1,0,0,0
32087,1,1,0,1,0,0,0
32089,1,1,0,1,0,0,0
32091,1,1,1,0,0,0,0
32093,1,5,0,5,0,0,0
32095,0,1,1,1,0,0,0
32097,1,1,0,1,0,0,0
32099,1,1,0,1,0,0,0
32101,0,0,1,1,0,0,0
32103,8,8,8,0,0,0,0
32105,1,0,1,1,0,0,0
32107,0,1,1,1,0,0,0
32109,0,0,1,1,0,0,0
32111,1,1,1,0,0,0,0
32113,0,0,0,0,0,0,0
32115,0,0,0,0,0,0,0
32117,1,1,1,0,0,0,0
32119,1,1,0,1,0,0,0
32121,1,1,0,1,0,0,0
32123,0,5,5,5,0,0,0
32125,1,0,1,1,0,0,0
32127,0,1,1,1,0,0,0
32129,0,0,1,1,0,0,0
32131,5,1,1,0,0,0,0
32133,1,0,1,1,0,0,0
32135,1,0,1,1,0,0,0
32137,1,1,1,0,0,0,0
32139,0,1,1,1,0,0,0
32141,0,0,1,0,0,0,0
32143,0,1,1,1,0,0,0
32145,1,1,0,1,0,0,0
32147,0,0,0,0,0,0,0
32149,1,0,1,1,0,0,0
32151,0,1,1,1,0,0,0
32153,1,1,1,0,0,0,0
32155,1,1,0,1,0,0,0
32157,1,0,1,1,0,0,0
32159,0,1,1,1,0,0,0
32193,1,1,1,0,0,0,0
34793,0,1,1,1,0,0,0
34795,0,0,4,0,0,0,0
