JPGNumber,Race 0 Bubble 0,Race 0 Bubble 1,Race 0 Bubble 2,Race 0 Bubble 3,Race 0 Bubble 4,Race 0 Bubble 5,Race 0 Bubble 6
1917,1,1,0,1,0,0,0
1919,0,0,1,0,0,0,0
1921,0,0,1,0,0,0,0
1923,1,0,1,1,0,0,0
1925,0,1,1,1,0,0,0
1927,1,0,0,0,0,0,0
1929,0,1,1,1,0,0,0
1931,1,1,1,0,0,0,0
1933,0,0,0,0,0,0,0
1935,1,0,1,1,0,0,0
1937,1,1,0,1,0,0,0
1939,1,1,1,0,0,0,0
1941,1,1,1,0,0,0,0
1943,1,1,1,0,0,0,0
1945,1,1,1,0,0,0,0
1947,1,1,1,0,0,0,0
1949,0,0,1,0,0,0,0
1951,0,0,1,0,0,0,0
1953,0,1,1,1,0,0,0
1955,0,1,1,1,0,0,0
2009,1,1,0,1,0,0,0
2011,1,1,0,1,0,0,0
2013,0,1,1,1,0,0,0
2015,1,1,0,1,0,0,0
2017,0,1,1,1,0,0,0
2019,0,0,0,0,0,0,0
2021,0,1,1,1,0,0,0
2023,1,0,1,1,0,0,0
2025,1,1,1,0,0,0,0
2027,1,1,0,1,0,0,0
2029,1,1,0,1,0,0,0
2031,0,0,1,1,1,0,0
2033,0,0,1,0,0,0,0
2035,1,1,1,0,0,0,0
2037,1,1,1,0,0,0,0
2039,1,1,1,0,0,0,0
2041,1,1,0,1,0,0,0
2043,1,0,1,1,0,0,0
2045,1,1,0,1,0,0,0
2047,1,1,0,1,0,0,0
2049,0,0,1,0,0,0,0
2051,1,1,0,1,0,0,0
2053,1,1,0,1,0,0,0
2055,1,1,0,1,0,0,0
2057,0,0,1,0,0,0,0
2059,1,1,0,1,0,0,0
2803,1,1,0,1,0,0,0
2805,0,1,1,1,0,0,0
2807,1,0,1,1,0,0,0
2809,0,1,1,1,0,0,0
2811,1,1,0,1,0,0,0
2813,1,1,0,1,0,0,0
2815,0,1,1,1,0,0,0
2817,0,1,1,1,0,0,0
2819,1,1,0,1,0,0,0
2821,1,1,0,1,0,0,0
2823,1,0,1,1,0,0,0
2825,1,1,1,0,0,0,0
2827,1,0,1,1,0,0,0
2829,1,0,1,1,0,0,0
2831,0,1,1,1,0,0,0
2833,1,0,1,1,0,0,0
2835,1,0,1,1,0,0,0
2837,1,1,0,1,0,0,0
2839,0,0,0,0,0,0,0
2841,0,0,0,0,0,0,0
5447,1,1,0,1,0,0,0
5535,1,0,1,1,0,0,0
5537,0,1,1,1,0,0,0
5539,1,1,0,1,0,0,0
5541,1,1,1,0,0,0,0
5543,0,1,1,1,0,0,0
5545,1,1,1,0,0,0,0
5547,1,0,1,1,0,0,0
5549,1,1,1,0,0,0,0
5551,1,1,0,1,0,0,0
5553,1,0,1,1,0,0,0
5555,0,0,0,0,0,0,0
5557,1,1,1,0,0,0,0
5559,1,1,1,0,0,0,0
5561,0,1,1,1,0,0,0
5563,1,0,1,1,0,0,0
5565,1,0,1,1,0,0,0
5567,1,0,1,1,0,0,0
5569,1,1,1,0,0,0,0
5571,1,1,1,0,0,0,0
5573,1,1,0,1,0,0,0
5575,0,0,0,0,0,0,0
13365,1,1,1,0,0,0,0
13367,1,1,0,0,0,0,0
13369,1,1,0,0,0,0,0
13371,0,1,1,1,0,0,0
13373,0,1,1,1,0,0,0
13375,1,0,1,1,0,0,0
13377,1,1,1,0,0,0,0
13379,1,0,1,1,0,0,0
13381,0,0,0,0,0,0,0
13383,1,1,1,0,0,0,0
13385,1,0,1,1,0,0,0
13387,1,0,1,1,0,0,0
13389,1,0,0,1,1,0,0
13391,1,1,0,1,0,0,0
13393,1,1,0,1,0,0,0
13395,0,1,1,1,0,0,0
13397,1,1,1,0,0,0,0
13399,1,1,1,0,0,0,0
13401,1,1,0,1,0,0,0
13403,1,1,1,0,0,0,0
13405,0,1,1,1,0,0,0
13407,0,1,1,1,0,0,0
13409,1,1,0,1,0,0,0
13411,0,0,0,0,1,0,0
13413,0,1,1,1,0,0,0
13415,1,0,1,1,0,0,0
13417,1,1,0,1,0,0,0
13419,0,1,0,0,0,0,0
13421,1,1,1,0,0,0,0
13423,1,1,0,1,0,0,0
13425,0,1,1,1,0,0,0
13427,1,1,1,0,0,0,0
13429,0,0,0,1,0,0,0
13431,1,1,1,0,0,0,0
13433,1,0,1,1,0,0,0
13435,0,1,1,1,0,0,0
13437,0,1,1,1,0,0,0
13439,0,1,1,0,0,0,0
13441,1,1,1,0,0,0,0
13443,0,1,1,1,0,0,0
13445,1,1,1,0,0,0,0
13447,1,1,0,1,0,0,0
13449,1,1,0,1,0,0,0
13451,1,1,1,0,0,0,0
13453,1,1,1,0,0,0,0
13455,1,1,0,1,0,0,0
13457,1,0,1,1,0,0,0
13459,0,0,0,0,1,0,0
13461,1,1,0,1,0,0,0
13463,0,0,0,0,0,0,0
13465,1,0,0,0,0,0,0
13467,1,1,0,1,0,0,0
13469,0,1,1,1,0,0,0
13471,1,0,1,1,0,0,0
13473,1,1,0,1,0,0,0
13475,1,1,0,1,0,0,0
13477,1,1,0,1,0,0,0
13479,1,1,0,0,0,0,0
13481,0,0,1,1,0,0,0
13483,1,1,0,1,0,0,0
13485,0,1,1,1,0,0,0
13487,1,1,1,0,0,0,0
13489,0,0,0,1,0,0,0
13491,1,1,1,0,0,0,0
13493,1,1,0,1,0,0,0
13495,1,0,0,0,0,0,0
13497,1,1,1,0,0,0,0
13499,0,1,1,1,0,0,0
13501,0,0,1,0,0,0,0
13503,0,1,1,1,0,0,0
13505,0,0,1,0,0,0,0
13507,1,1,0,1,0,0,0
13509,1,1,0,1,0,0,0
13511,1,1,0,1,0,0,0
13513,1,0,1,1,0,0,0
13515,1,1,0,1,0,0,0
13517,0,0,1,1,0,0,0
13519,1,0,1,1,0,0,0
13521,0,1,1,1,0,0,0
13523,0,1,1,1,0,0,0
13525,1,0,1,1,0,0,0
13527,0,1,1,1,0,0,0
13529,1,1,0,1,0,0,0
13531,1,1,0,1,0,0,0
13533,0,1,1,1,0,0,0
13535,0,1,1,1,0,0,0
13537,0,0,0,0,0,0,0
13539,1,1,0,1,0,0,0
13541,1,1,1,0,0,0,0
13543,1,0,0,0,0,0,0
13545,0,0,1,0,0,0,0
13547,0,1,1,1,0,0,0
31233,1,1,0,1,0,0,0
31235,1,1,0,1,0,0,0
31237,1,1,0,1,0,0,0
31239,0,0,0,0,0,0,0
31241,1,1,0,1,0,0,0
31243,0,0,1,1,1,0,0
31245,0,0,0,0,0,0,0
31247,1,0,0,1,1,0,0
31249,0,0,1,0,0,0,0
31251,1,1,1,0,0,0,0
31253,0,0,0,0,0,0,0
31255,1,1,0,1,0,0,0
31257,1,0,1,1,0,0,0
31259,0,0,0,0,0,0,0
31261,0,0,1,1,0,0,0
31263,0,1,1,1,0,0,0
31265,0,0,0,0,0,0,0
31267,0,0,0,0,0,0,0
31269,0,0,1,0,0,0,0
31271,1,1,1,0,0,0,0
31273,0,1,1,1,0,0,0
31275,0,0,1,0,0,0,0
31277,0,1,1,1,0,0,0
31279,0,0,0,0,0,0,0
31281,0,0,1,0,0,0,0
31283,0,0,1,1,0,0,0
31285,0,0,1,1,0,0,0
31287,1,1,1,0,0,0,0
31289,1,1,1,0,0,0,0
31291,1,1,0,1,0,0,0
31293,0,0,0,0,0,0,0
31295,1,0,1,1,0,0,0
31297,0,0,0,0,0,0,0
31299,1,0,1,1,0,0,0
31301,1,1,0,1,0,0,0
31303,1,1,0,1,0,0,0
31305,1,0,1,1,0,0,0
31307,0,0,1,0,0,0,0
31309,1,0,1,1,0,0,0
31311,0,1,1,1,0,0,0
31313,1,1,0,1,0,0,0
31315,0,0,1,0,0,0,0
31317,0,1,1,1,0,0,0
31319,1,1,0,1,0,0,0
31321,1,1,0,1,0,0,0
31323,1,1,0,1,0,0,0
31325,1,1,1,0,0,0,0
31327,1,1,0,1,0,0,0
31329,1,0,0,0,0,0,0
31331,1,1,0,1,0,0,0
31333,0,1,0,0,0,0,0
31335,0,0,1,1,0,0,0
31337,0,0,1,0,0,0,0
31339,0,0,1,0,0,0,0
31341,0,1,1,1,0,0,0
31343,1,1,0,1,0,0,0
31345,1,1,0,1,0,0,0
31347,0,0,1,1,0,0,0
31349,0,0,0,1,0,0,0
31351,1,1,0,1,0,0,0
31353,0,0,0,0,0,0,0
31355,0,1,0,1,0,0,0
31357,0,0,1,0,0,0,0
31359,0,0,0,0,0,0,0
31361,0,0,0,1,0,0,0
31363,1,1,1,0,0,0,0
31365,0,0,0,1,0,0,0
31367,1,1,0,1,0,0,0
31369,0,0,1,1,0,1,0
31371,0,0,0,0,0,0,0
31373,0,0,0,0,0,0,0
31375,0,1,1,1,0,0,0
31377,1,1,1,0,0,0,0
31379,0,0,1,1,0,0,0
31381,1,0,1,1,0,0,0
31383,1,1,0,1,0,0,0
31385,1,0,1,0,0,0,0
31387,0,1,1,1,0,0,0
31389,1,1,0,1,0,0,0
31391,1,1,1,0,0,0,0
31393,0,0,1,0,1,1,0
31395,1,1,1,0,0,0,0
31397,0,0,0,0,0,0,0
31399,1,1,0,1,0,0,0
31401,1,0,1,1,0,0,0
31403,0,0,1,0,0,0,0
31405,0,0,1,0,0,0,0
31407,1,1,0,1,0,0,0
31409,0,0,1,1,0,0,0
31411,0,1,1,1,0,0,0
31413,1,0,1,1,0,0,0
31415,1,0,1,1,0,0,0
31417,1,1,1,0,0,0,0
31419,1,1,0,1,0,0,0
31421,1,1,0,1,0,0,0
31423,1,0,1,1,0,0,0
31425,1,1,1,0,0,0,0
31427,0,0,1,0,0,0,0
31429,1,1,0,1,0,0,0
31431,1,1,1,0,0,0,0
31433,0,1,1,1,0,0,0
31435,1,1,0,1,0,0,0
31437,1,0,1,1,0,0,0
31439,0,0,1,0,0,0,0
31441,0,1,1,1,0,0,0
31443,1,1,1,0,0,0,0
31445,1,1,0,1,0,0,0
31447,1,1,1,0,0,0,0
31449,1,1,1,0,0,0,0
31451,1,1,1,0,0,0,0
31453,0,0,0,0,0,0,0
31455,0,0,0,0,0,0,0
31457,1,1,1,0,0,0,0
31459,0,0,1,0,0,0,0
31461,1,1,1,0,0,0,0
31463,1,1,1,0,0,0,0
31465,1,1,1,0,0,0,0
31467,0,0,0,0,0,0,0
31469,0,0,0,0,0,0,0
31471,0,0,0,0,0,0,0
31473,0,0,0,0,0,0,0
31475,1,1,1,0,0,0,0
31477,1,1,0,1,0,0,0
31479,1,0,1,1,0,0,0
31481,1,1,0,1,0,0,0
