JPGNumber,Race 0 Bubble 0,Race 0 Bubble 1,Race 0 Bubble 2
2062,-1,-1,-1
2064,-1,-1,-1
2066,-1,-1,-1
2068,-1,-1,-1
2070,-1,-1,-1
2072,-1,-1,-1
2074,-1,-1,-1
2076,-1,-1,-1
2078,-1,-1,-1
2080,-1,-1,-1
2082,-1,-1,-1
2084,-1,-1,-1
2086,-1,-1,-1
2088,-1,-1,-1
2090,-1,-1,-1
2092,-1,-1,-1
2094,-1,-1,-1
2096,-1,-1,-1
2098,-1,-1,-1
2100,-1,-1,-1
2102,-1,-1,-1
2104,-1,-1,-1
2106,-1,-1,-1
2108,-1,-1,-1
2110,-1,-1,-1
2112,-1,-1,-1
2114,-1,-1,-1
2116,-1,-1,-1
2118,-1,-1,-1
2120,-1,-1,-1
2122,-1,-1,-1
2124,-1,-1,-1
2126,-1,-1,-1
2128,-1,-1,-1
2130,-1,-1,-1
2132,-1,-1,-1
2134,-1,-1,-1
2136,-1,-1,-1
2138,-1,-1,-1
2140,-1,-1,-1
2142,-1,-1,-1
2144,-1,-1,-1
2146,-1,-1,-1
2148,-1,-1,-1
2150,-1,-1,-1
2152,-1,-1,-1
2154,-1,-1,-1
2156,-1,-1,-1
2158,-1,-1,-1
2160,-1,-1,-1
2162,-1,-1,-1
2164,-1,-1,-1
2166,-1,-1,-1
2168,-1,-1,-1
2170,-1,-1,-1
2172,-1,-1,-1
2174,-1,-1,-1
2176,-1,-1,-1
2178,-1,-1,-1
2180,-1,-1,-1
2182,-1,-1,-1
2184,-1,-1,-1
2186,-1,-1,-1
2188,-1,-1,-1
2190,-1,-1,-1
2192,-1,-1,-1
2194,-1,-1,-1
2196,-1,-1,-1
2198,-1,-1,-1
2200,-1,-1,-1
2202,-1,-1,-1
2204,-1,-1,-1
2206,-1,-1,-1
2208,-1,-1,-1
2210,-1,-1,-1
2212,-1,-1,-1
2214,-1,-1,-1
2216,-1,-1,-1
2218,-1,-1,-1
2220,-1,-1,-1
2222,-1,-1,-1
2224,-1,-1,-1
2226,-1,-1,-1
2228,-1,-1,-1
2230,-1,-1,-1
2232,-1,-1,-1
2234,-1,-1,-1
2236,-1,-1,-1
2238,-1,-1,-1
2240,-1,-1,-1
2242,-1,-1,-1
2244,-1,-1,-1
2246,-1,-1,-1
2248,-1,-1,-1
2250,-1,-1,-1
2252,-1,-1,-1
2254,-1,-1,-1
2256,-1,-1,-1
2258,-1,-1,-1
2260,-1,-1,-1
2262,-1,-1,-1
2264,-1,-1,-1
2266,-1,-1,-1
2268,-1,-1,-1
2270,-1,-1,-1
2272,-1,-1,-1
4358,-1,-1,-1
4360,-1,-1,-1
4362,-1,-1,-1
4364,-1,-1,-1
4366,-1,-1,-1
4368,-1,-1,-1
4370,-1,-1,-1
4372,-1,-1,-1
4374,-1,-1,-1
4376,-1,-1,-1
4378,-1,-1,-1
4380,-1,-1,-1
4382,-1,-1,-1
4384,-1,-1,-1
4386,-1,-1,-1
4388,-1,-1,-1
4390,-1,-1,-1
4392,-1,-1,-1
4394,-1,-1,-1
4396,-1,-1,-1
4398,-1,-1,-1
4400,-1,-1,-1
4402,-1,-1,-1
4404,-1,-1,-1
4406,-1,-1,-1
4408,-1,-1,-1
4410,-1,-1,-1
4412,-1,-1,-1
4414,-1,-1,-1
4416,-1,-1,-1
4418,-1,-1,-1
4420,-1,-1,-1
4422,-1,-1,-1
4424,-1,-1,-1
4426,-1,-1,-1
4428,-1,-1,-1
4430,-1,-1,-1
4432,-1,-1,-1
4434,-1,-1,-1
4436,-1,-1,-1
4438,-1,-1,-1
4440,-1,-1,-1
4442,-1,-1,-1
4444,-1,-1,-1
4446,-1,-1,-1
4448,-1,-1,-1
4450,-1,-1,-1
4452,-1,-1,-1
4574,-1,-1,-1
4576,-1,-1,-1
4578,-1,-1,-1
4580,-1,-1,-1
4582,-1,-1,-1
4584,-1,-1,-1
4586,-1,-1,-1
4588,-1,-1,-1
4590,-1,-1,-1
4592,-1,-1,-1
4594,-1,-1,-1
4596,-1,-1,-1
4598,-1,-1,-1
4600,-1,-1,-1
4602,-1,-1,-1
4604,-1,-1,-1
4606,-1,-1,-1
4608,-1,-1,-1
4610,-1,-1,-1
4612,-1,-1,-1
4614,-1,-1,-1
5100,-1,-1,-1
5102,-1,-1,-1
5104,-1,-1,-1
5106,-1,-1,-1
5108,-1,-1,-1
5110,-1,-1,-1
5112,-1,-1,-1
5114,-1,-1,-1
5116,-1,-1,-1
5118,-1,-1,-1
5120,-1,-1,-1
5122,-1,-1,-1
5124,-1,-1,-1
5126,-1,-1,-1
5128,-1,-1,-1
5130,-1,-1,-1
5132,-1,-1,-1
5134,-1,-1,-1
5136,-1,-1,-1
5138,-1,-1,-1
5140,-1,-1,-1
5142,-1,-1,-1
5144,-1,-1,-1
5146,-1,-1,-1
5148,-1,-1,-1
5150,-1,-1,-1
5152,-1,-1,-1
5154,-1,-1,-1
5156,-1,-1,-1
5158,-1,-1,-1
5160,-1,-1,-1
5162,-1,-1,-1
5164,-1,-1,-1
5166,-1,-1,-1
5168,-1,-1,-1
5170,-1,-1,-1
5172,-1,-1,-1
5174,-1,-1,-1
5176,-1,-1,-1
5178,-1,-1,-1
5180,-1,-1,-1
5182,-1,-1,-1
5184,-1,-1,-1
5186,-1,-1,-1
5188,-1,-1,-1
5190,-1,-1,-1
5192,-1,-1,-1
5194,-1,-1,-1
5196,-1,-1,-1
5198,-1,-1,-1
5200,-1,-1,-1
5202,-1,-1,-1
5204,-1,-1,-1
5206,-1,-1,-1
5208,-1,-1,-1
5210,-1,-1,-1
5212,-1,-1,-1
5214,-1,-1,-1
5216,-1,-1,-1
5218,-1,-1,-1
5220,-1,-1,-1
5222,-1,-1,-1
5224,-1,-1,-1
5226,-1,-1,-1
5228,-1,-1,-1
5230,-1,-1,-1
5232,-1,-1,-1
5234,-1,-1,-1
5236,-1,-1,-1
5238,-1,-1,-1
5240,-1,-1,-1
5242,-1,-1,-1
5244,-1,-1,-1
5246,-1,-1,-1
5248,-1,-1,-1
5250,-1,-1,-1
5252,-1,-1,-1
5254,-1,-1,-1
6578,-1,-1,-1
6580,-1,-1,-1
6582,-1,-1,-1
6584,-1,-1,-1
6586,-1,-1,-1
6588,-1,-1,-1
6590,-1,-1,-1
6592,-1,-1,-1
6594,-1,-1,-1
6596,-1,-1,-1
6598,-1,-1,-1
6600,-1,-1,-1
6602,-1,-1,-1
6604,-1,-1,-1
6606,-1,-1,-1
6608,-1,-1,-1
6610,-1,-1,-1
6612,-1,-1,-1
6614,-1,-1,-1
6616,-1,-1,-1
6618,-1,-1,-1
6620,-1,-1,-1
6622,-1,-1,-1
6624,-1,-1,-1
6626,-1,-1,-1
6628,-1,-1,-1
6630,-1,-1,-1
6632,-1,-1,-1
6634,-1,-1,-1
6636,-1,-1,-1
6638,-1,-1,-1
6640,-1,-1,-1
6642,-1,-1,-1
6644,-1,-1,-1
6646,-1,-1,-1
6648,-1,-1,-1
6650,-1,-1,-1
6652,-1,-1,-1
6654,-1,-1,-1
6656,-1,-1,-1
6658,-1,-1,-1
6660,-1,-1,-1
6662,-1,-1,-1
6664,-1,-1,-1
6666,-1,-1,-1
6668,-1,-1,-1
6670,-1,-1,-1
6672,-1,-1,-1
6674,-1,-1,-1
6676,-1,-1,-1
6678,-1,-1,-1
6680,-1,-1,-1
6682,-1,-1,-1
6684,-1,-1,-1
6686,-1,-1,-1
6688,-1,-1,-1
6690,-1,-1,-1
6692,-1,-1,-1
6694,-1,-1,-1
6696,-1,-1,-1
6698,-1,-1,-1
6700,-1,-1,-1
6702,-1,-1,-1
6704,-1,-1,-1
6706,-1,-1,-1
6708,-1,-1,-1
6710,-1,-1,-1
6712,-1,-1,-1
6714,-1,-1,-1
6716,-1,-1,-1
6718,-1,-1,-1
6720,-1,-1,-1
6722,-1,-1,-1
6724,-1,-1,-1
6726,-1,-1,-1
6728,-1,-1,-1
6730,-1,-1,-1
6732,-1,-1,-1
6734,-1,-1,-1
6736,-1,-1,-1
6738,-1,-1,-1
6740,-1,-1,-1
6742,-1,-1,-1
6744,-1,-1,-1
6746,-1,-1,-1
6748,-1,-1,-1
6750,-1,-1,-1
6752,-1,-1,-1
6754,-1,-1,-1
6756,-1,-1,-1
6758,-1,-1,-1
6760,-1,-1,-1
6762,-1,-1,-1
6764,-1,-1,-1
6766,-1,-1,-1
6768,-1,-1,-1
6770,-1,-1,-1
6772,-1,-1,-1
6774,-1,-1,-1
6776,-1,-1,-1
6778,-1,-1,-1
6780,-1,-1,-1
6782,-1,-1,-1
6784,-1,-1,-1
6786,-1,-1,-1
6788,-1,-1,-1
6790,-1,-1,-1
6792,-1,-1,-1
6794,-1,-1,-1
6796,-1,-1,-1
6798,-1,-1,-1
6800,-1,-1,-1
6802,-1,-1,-1
6804,-1,-1,-1
6806,-1,-1,-1
6808,-1,-1,-1
6810,-1,-1,-1
6812,-1,-1,-1
6814,-1,-1,-1
6816,-1,-1,-1
