JPGNumber,Race 0 Bubble 0,Race 0 Bubble 1,Race 0 Bubble 2,Race 0 Bubble 3,Race 0 Bubble 4,Race 0 Bubble 5,Race 0 Bubble 6,Race 0 Bubble 7,Race 0 Bubble 8
1692,1,1,0,1,0,0,0,0,0
1694,1,1,0,1,0,0,0,0,0
1696,0,0,0,0,0,0,0,0,0
1698,0,0,0,0,0,0,0,0,0
1700,1,0,0,1,1,0,0,0,0
1702,1,0,0,0,0,1,0,0,0
1704,0,0,1,1,0,1,0,0,0
1706,-1,-1,-1,-1,-1,-1,-1,-1,-1
1708,-1,-1,-1,-1,-1,-1,-1,-1,-1
1710,-1,-1,-1,-1,-1,-1,-1,-1,-1
1712,-1,-1,-1,-1,-1,-1,-1,-1,-1
1714,-1,-1,-1,-1,-1,-1,-1,-1,-1
1716,-1,-1,-1,-1,-1,-1,-1,-1,-1
1718,-1,-1,-1,-1,-1,-1,-1,-1,-1
1720,-1,-1,-1,-1,-1,-1,-1,-1,-1
1722,-1,-1,-1,-1,-1,-1,-1,-1,-1
1724,-1,-1,-1,-1,-1,-1,-1,-1,-1
1726,-1,-1,-1,-1,-1,-1,-1,-1,-1
1728,-1,-1,-1,-1,-1,-1,-1,-1,-1
1730,-1,-1,-1,-1,-1,-1,-1,-1,-1
1732,-1,-1,-1,-1,-1,-1,-1,-1,-1
1734,-1,-1,-1,-1,-1,-1,-1,-1,-1
1736,-1,-1,-1,-1,-1,-1,-1,-1,-1
1738,-1,-1,-1,-1,-1,-1,-1,-1,-1
1740,-1,-1,-1,-1,-1,-1,-1,-1,-1
1742,-1,-1,-1,-1,-1,-1,-1,-1,-1
1744,-1,-1,-1,-1,-1,-1,-1,-1,-1
1746,-1,-1,-1,-1,-1,-1,-1,-1,-1
1748,-1,-1,-1,-1,-1,-1,-1,-1,-1
1750,-1,-1,-1,-1,-1,-1,-1,-1,-1
1752,-1,-1,-1,-1,-1,-1,-1,-1,-1
5516,-1,-1,-1,-1,-1,-1,-1,-1,-1
5518,-1,-1,-1,-1,-1,-1,-1,-1,-1
5520,-1,-1,-1,-1,-1,-1,-1,-1,-1
5522,-1,-1,-1,-1,-1,-1,-1,-1,-1
5524,-1,-1,-1,-1,-1,-1,-1,-1,-1
5526,-1,-1,-1,-1,-1,-1,-1,-1,-1
5528,-1,-1,-1,-1,-1,-1,-1,-1,-1
5530,-1,-1,-1,-1,-1,-1,-1,-1,-1
5532,-1,-1,-1,-1,-1,-1,-1,-1,-1
5534,-1,-1,-1,-1,-1,-1,-1,-1,-1
34372,-1,-1,-1,-1,-1,-1,-1,-1,-1
34374,-1,-1,-1,-1,-1,-1,-1,-1,-1
34376,-1,-1,-1,-1,-1,-1,-1,-1,-1
34378,-1,-1,-1,-1,-1,-1,-1,-1,-1
34380,-1,-1,-1,-1,-1,-1,-1,-1,-1
34382,-1,-1,-1,-1,-1,-1,-1,-1,-1
