JPGNumber,Race 0 Bubble 0,Race 0 Bubble 1,Race 0 Bubble 2,Race 0 Bubble 3,Race 0 Bubble 4,Race 0 Bubble 5,Race 0 Bubble 6
733,-1,-1,-1,-1,-1,-1,-1
735,-1,-1,-1,-1,-1,-1,-1
737,-1,-1,-1,-1,-1,-1,-1
739,-1,-1,-1,-1,-1,-1,-1
741,-1,-1,-1,-1,-1,-1,-1
743,-1,-1,-1,-1,-1,-1,-1
745,-1,-1,-1,-1,-1,-1,-1
747,-1,-1,-1,-1,-1,-1,-1
749,-1,-1,-1,-1,-1,-1,-1
751,-1,-1,-1,-1,-1,-1,-1
887,-1,-1,-1,-1,-1,-1,-1
889,-1,-1,-1,-1,-1,-1,-1
933,-1,-1,-1,-1,-1,-1,-1
935,-1,-1,-1,-1,-1,-1,-1
2337,-1,-1,-1,-1,-1,-1,-1
2339,-1,-1,-1,-1,-1,-1,-1
2341,-1,-1,-1,-1,-1,-1,-1
2343,-1,-1,-1,-1,-1,-1,-1
2345,-1,-1,-1,-1,-1,-1,-1
2347,-1,-1,-1,-1,-1,-1,-1
2349,-1,-1,-1,-1,-1,-1,-1
2351,-1,-1,-1,-1,-1,-1,-1
2353,-1,-1,-1,-1,-1,-1,-1
2355,-1,-1,-1,-1,-1,-1,-1
2357,-1,-1,-1,-1,-1,-1,-1
2359,-1,-1,-1,-1,-1,-1,-1
2361,-1,-1,-1,-1,-1,-1,-1
2363,-1,-1,-1,-1,-1,-1,-1
2365,-1,-1,-1,-1,-1,-1,-1
2367,-1,-1,-1,-1,-1,-1,-1
2369,-1,-1,-1,-1,-1,-1,-1
2371,-1,-1,-1,-1,-1,-1,-1
2373,-1,-1,-1,-1,-1,-1,-1
2375,-1,-1,-1,-1,-1,-1,-1
2377,-1,-1,-1,-1,-1,-1,-1
2379,-1,-1,-1,-1,-1,-1,-1
2381,-1,-1,-1,-1,-1,-1,-1
2383,-1,-1,-1,-1,-1,-1,-1
2385,-1,-1,-1,-1,-1,-1,-1
2387,-1,-1,-1,-1,-1,-1,-1
2389,-1,-1,-1,-1,-1,-1,-1
2391,-1,-1,-1,-1,-1,-1,-1
2393,-1,-1,-1,-1,-1,-1,-1
2395,-1,-1,-1,-1,-1,-1,-1
2397,-1,-1,-1,-1,-1,-1,-1
2399,-1,-1,-1,-1,-1,-1,-1
2401,-1,-1,-1,-1,-1,-1,-1
2403,-1,-1,-1,-1,-1,-1,-1
2405,-1,-1,-1,-1,-1,-1,-1
2407,-1,-1,-1,-1,-1,-1,-1
2409,-1,-1,-1,-1,-1,-1,-1
2411,-1,-1,-1,-1,-1,-1,-1
2413,-1,-1,-1,-1,-1,-1,-1
2415,-1,-1,-1,-1,-1,-1,-1
2417,-1,-1,-1,-1,-1,-1,-1
2419,-1,-1,-1,-1,-1,-1,-1
2421,-1,-1,-1,-1,-1,-1,-1
2423,-1,-1,-1,-1,-1,-1,-1
2425,-1,-1,-1,-1,-1,-1,-1
2427,-1,-1,-1,-1,-1,-1,-1
2429,-1,-1,-1,-1,-1,-1,-1
2431,-1,-1,-1,-1,-1,-1,-1
2433,-1,-1,-1,-1,-1,-1,-1
2435,-1,-1,-1,-1,-1,-1,-1
2437,-1,-1,-1,-1,-1,-1,-1
2439,-1,-1,-1,-1,-1,-1,-1
2441,-1,-1,-1,-1,-1,-1,-1
2443,-1,-1,-1,-1,-1,-1,-1
2445,-1,-1,-1,-1,-1,-1,-1
2447,-1,-1,-1,-1,-1,-1,-1
2449,-1,-1,-1,-1,-1,-1,-1
2451,-1,-1,-1,-1,-1,-1,-1
2453,-1,-1,-1,-1,-1,-1,-1
2455,-1,-1,-1,-1,-1,-1,-1
2457,-1,-1,-1,-1,-1,-1,-1
2459,-1,-1,-1,-1,-1,-1,-1
2461,-1,-1,-1,-1,-1,-1,-1
2463,-1,-1,-1,-1,-1,-1,-1
2465,-1,-1,-1,-1,-1,-1,-1
2467,-1,-1,-1,-1,-1,-1,-1
2469,-1,-1,-1,-1,-1,-1,-1
2471,-1,-1,-1,-1,-1,-1,-1
2473,-1,-1,-1,-1,-1,-1,-1
2475,-1,-1,-1,-1,-1,-1,-1
2477,-1,-1,-1,-1,-1,-1,-1
2479,-1,-1,-1,-1,-1,-1,-1
2481,-1,-1,-1,-1,-1,-1,-1
2483,-1,-1,-1,-1,-1,-1,-1
2485,-1,-1,-1,-1,-1,-1,-1
2487,-1,-1,-1,-1,-1,-1,-1
2489,-1,-1,-1,-1,-1,-1,-1
2491,-1,-1,-1,-1,-1,-1,-1
2493,-1,-1,-1,-1,-1,-1,-1
2495,-1,-1,-1,-1,-1,-1,-1
2497,-1,-1,-1,-1,-1,-1,-1
2499,-1,-1,-1,-1,-1,-1,-1
2501,-1,-1,-1,-1,-1,-1,-1
2503,-1,-1,-1,-1,-1,-1,-1
2505,-1,-1,-1,-1,-1,-1,-1
2507,-1,-1,-1,-1,-1,-1,-1
2509,-1,-1,-1,-1,-1,-1,-1
2511,-1,-1,-1,-1,-1,-1,-1
2513,-1,-1,-1,-1,-1,-1,-1
2515,-1,-1,-1,-1,-1,-1,-1
2517,-1,-1,-1,-1,-1,-1,-1
2519,-1,-1,-1,-1,-1,-1,-1
2521,-1,-1,-1,-1,-1,-1,-1
2523,-1,-1,-1,-1,-1,-1,-1
2525,-1,-1,-1,-1,-1,-1,-1
2527,-1,-1,-1,-1,-1,-1,-1
2529,-1,-1,-1,-1,-1,-1,-1
2531,-1,-1,-1,-1,-1,-1,-1
2533,-1,-1,-1,-1,-1,-1,-1
2535,-1,-1,-1,-1,-1,-1,-1
2537,-1,-1,-1,-1,-1,-1,-1
2539,-1,-1,-1,-1,-1,-1,-1
2541,-1,-1,-1,-1,-1,-1,-1
2843,-1,-1,-1,-1,-1,-1,-1
2845,-1,-1,-1,-1,-1,-1,-1
2847,-1,-1,-1,-1,-1,-1,-1
2849,-1,-1,-1,-1,-1,-1,-1
2851,-1,-1,-1,-1,-1,-1,-1
2853,-1,-1,-1,-1,-1,-1,-1
2855,-1,-1,-1,-1,-1,-1,-1
2857,-1,-1,-1,-1,-1,-1,-1
2859,-1,-1,-1,-1,-1,-1,-1
2861,-1,-1,-1,-1,-1,-1,-1
2863,-1,-1,-1,-1,-1,-1,-1
2865,-1,-1,-1,-1,-1,-1,-1
2867,-1,-1,-1,-1,-1,-1,-1
2869,-1,-1,-1,-1,-1,-1,-1
2871,-1,-1,-1,-1,-1,-1,-1
2873,-1,-1,-1,-1,-1,-1,-1
2875,-1,-1,-1,-1,-1,-1,-1
2877,-1,-1,-1,-1,-1,-1,-1
2879,-1,-1,-1,-1,-1,-1,-1
2881,-1,-1,-1,-1,-1,-1,-1
2883,-1,-1,-1,-1,-1,-1,-1
2885,-1,-1,-1,-1,-1,-1,-1
2887,-1,-1,-1,-1,-1,-1,-1
2889,-1,-1,-1,-1,-1,-1,-1
2891,-1,-1,-1,-1,-1,-1,-1
2893,-1,-1,-1,-1,-1,-1,-1
2895,-1,-1,-1,-1,-1,-1,-1
2897,-1,-1,-1,-1,-1,-1,-1
2899,-1,-1,-1,-1,-1,-1,-1
2901,-1,-1,-1,-1,-1,-1,-1
2903,-1,-1,-1,-1,-1,-1,-1
