JPGNumber,Race 0 Bubble 0,Race 0 Bubble 1,Race 0 Bubble 2,Race 0 Bubble 3
2294,1,0,0,0
2296,0,1,0,0
2298,1,0,0,0
2300,1,0,0,0
2302,1,0,0,0
2304,0,0,1,0
2306,1,0,0,0
2308,1,0,0,0
2310,0,0,1,0
2324,1,0,0,0
2326,0,0,1,0
2328,1,0,0,0
2330,1,0,0,0
2332,1,0,0,0
2334,0,0,1,0
2336,1,0,0,0
3030,0,1,0,0
3044,0,0,1,0
3046,0,1,0,0
3048,0,1,0,0
3050,1,0,0,0
3052,0,1,0,0
3054,1,0,0,0
3056,0,0,1,0
3058,0,1,0,0
3060,1,0,0,0
3062,0,0,1,0
3064,0,0,1,0
3066,1,0,0,0
3068,0,0,1,0
3070,0,0,1,0
3072,1,0,0,0
3074,0,1,0,0
3076,1,0,0,0
3078,1,0,0,0
3080,1,0,0,0
3082,0,0,1,0
3084,0,1,0,0
3086,0,0,1,0
3088,0,0,1,0
3090,0,0,1,0
3092,0,0,1,0
3094,0,0,1,0
3096,0,1,0,0
3098,0,1,0,0
3100,0,0,1,0
3102,0,0,1,0
3104,0,0,1,0
3106,0,0,1,0
3108,0,1,0,0
3110,0,0,1,0
3112,0,0,1,0
3114,0,1,0,0
3116,0,0,1,0
3118,0,0,1,0
3120,0,1,0,0
3122,1,0,0,0
3250,1,0,0,0
3252,1,0,0,0
3254,1,0,0,0
3256,0,0,1,0
3258,1,0,0,0
3260,0,0,0,0
3262,1,0,0,0
3264,1,0,0,0
3266,1,0,0,0
3268,0,0,1,0
3270,1,0,0,0
3272,0,1,0,0
3274,1,0,0,0
3276,0,0,1,0
3278,1,0,0,0
3280,1,0,0,0
3282,1,0,0,0
3284,0,0,1,0
3286,0,0,1,0
3288,0,0,1,0
3290,1,0,0,0
3292,0,0,0,0
3294,1,0,0,0
3296,1,0,0,0
3298,0,1,0,0
3300,1,0,0,0
3302,1,0,0,0
3304,1,0,0,0
3306,1,0,0,0
3308,1,0,0,0
3310,1,0,0,0
3312,1,0,0,0
3314,1,0,0,0
3316,1,0,0,0
3318,0,0,1,0
3320,1,0,0,0
3322,1,0,0,0
3324,0,0,1,0
3326,0,0,0,0
3328,1,0,0,0
3330,1,0,0,0
3332,0,1,0,0
3334,1,0,0,0
3336,0,0,1,0
3338,0,1,0,0
3340,0,0,1,0
3342,0,0,1,0
3344,0,0,1,0
3346,1,0,0,0
3348,1,0,0,0
3350,0,0,1,0
3352,0,0,1,0
3354,1,0,0,0
3356,0,0,1,0
3358,0,0,1,0
3360,0,1,0,0
3362,0,0,1,0
3364,0,1,0,0
3366,0,0,1,0
3368,0,0,1,0
3370,1,0,0,0
3372,0,0,1,0
3374,0,0,1,0
3376,0,0,1,0
3378,0,1,0,0
3380,0,0,1,0
3382,1,0,0,0
3384,0,0,1,0
3386,1,0,0,0
3388,0,0,1,0
3390,0,1,0,0
3392,1,0,0,0
3394,1,0,0,0
3396,0,0,1,0
3398,0,0,1,0
3400,0,0,1,0
3402,0,0,0,0
3404,1,0,0,0
3406,1,0,0,0
3408,0,0,1,0
3410,0,0,1,0
3412,0,1,0,0
3414,1,0,0,0
3416,1,0,0,0
3418,0,1,0,0
3420,1,0,0,0
3422,0,0,1,0
3424,1,0,0,0
3426,1,0,0,0
3428,0,0,1,0
3430,1,0,0,0
3432,0,0,0,0
3434,1,0,0,0
3436,0,0,1,0
3438,0,0,1,0
3440,0,0,1,0
3442,1,0,0,0
3444,0,0,1,0
3446,0,0,1,0
3448,1,0,0,0
3450,1,0,0,0
3452,1,0,0,0
4616,1,0,0,0
4618,0,1,0,0
4620,0,1,0,0
4622,0,1,0,0
4624,0,0,1,0
4626,0,0,1,0
4628,0,0,1,0
4630,0,0,1,0
4632,0,1,0,0
4634,1,0,0,0
4636,1,0,0,0
4638,1,0,0,0
4640,1,0,0,0
4642,0,0,1,0
4644,0,0,1,0
4646,0,0,1,0
4648,1,0,0,0
4650,0,0,1,0
4652,0,1,0,0
4654,0,1,0,0
4656,1,0,0,0
4658,0,0,1,0
4660,0,0,1,0
4662,0,0,1,0
4664,0,0,1,0
4666,0,1,0,0
4668,0,0,1,0
4670,1,0,0,0
4672,0,0,1,0
4674,0,0,1,0
4676,1,0,0,0
4678,1,0,0,0
4680,0,1,0,0
4682,0,0,1,0
4684,0,1,0,0
4686,1,0,0,0
4688,1,0,0,0
4690,0,1,0,0
4692,0,1,0,0
4694,0,0,1,0
4696,0,0,1,0
4698,1,0,0,0
4700,1,0,0,0
4702,1,0,0,0
4704,0,0,1,0
4706,0,0,1,0
4708,0,0,1,0
4710,0,0,1,0
