JPGNumber,Race 0 Bubble 0,Race 0 Bubble 1,Race 0 Bubble 2,Race 0 Bubble 3,Race 0 Bubble 4,Race 0 Bubble 5,Race 0 Bubble 6,Race 0 Bubble 7
3231,-1,-1,-1,-1,-1,-1,-1,-1
3233,-1,-1,-1,-1,-1,-1,-1,-1
3235,-1,-1,-1,-1,-1,-1,-1,-1
3237,-1,-1,-1,-1,-1,-1,-1,-1
3239,-1,-1,-1,-1,-1,-1,-1,-1
3241,-1,-1,-1,-1,-1,-1,-1,-1
3243,-1,-1,-1,-1,-1,-1,-1,-1
3245,-1,-1,-1,-1,-1,-1,-1,-1
3247,-1,-1,-1,-1,-1,-1,-1,-1
3915,-1,-1,-1,-1,-1,-1,-1,-1
3917,-1,-1,-1,-1,-1,-1,-1,-1
3919,-1,-1,-1,-1,-1,-1,-1,-1
3921,-1,-1,-1,-1,-1,-1,-1,-1
3923,-1,-1,-1,-1,-1,-1,-1,-1
3925,-1,-1,-1,-1,-1,-1,-1,-1
3927,-1,-1,-1,-1,-1,-1,-1,-1
3929,-1,-1,-1,-1,-1,-1,-1,-1
3931,-1,-1,-1,-1,-1,-1,-1,-1
3933,-1,-1,-1,-1,-1,-1,-1,-1
3935,-1,-1,-1,-1,-1,-1,-1,-1
3937,-1,-1,-1,-1,-1,-1,-1,-1
3939,-1,-1,-1,-1,-1,-1,-1,-1
3941,-1,-1,-1,-1,-1,-1,-1,-1
3943,-1,-1,-1,-1,-1,-1,-1,-1
3945,-1,-1,-1,-1,-1,-1,-1,-1
3947,-1,-1,-1,-1,-1,-1,-1,-1
3949,-1,-1,-1,-1,-1,-1,-1,-1
3951,-1,-1,-1,-1,-1,-1,-1,-1
3953,-1,-1,-1,-1,-1,-1,-1,-1
3955,-1,-1,-1,-1,-1,-1,-1,-1
3957,-1,-1,-1,-1,-1,-1,-1,-1
3959,-1,-1,-1,-1,-1,-1,-1,-1
3961,-1,-1,-1,-1,-1,-1,-1,-1
3963,-1,-1,-1,-1,-1,-1,-1,-1
3965,-1,-1,-1,-1,-1,-1,-1,-1
3967,-1,-1,-1,-1,-1,-1,-1,-1
3969,-1,-1,-1,-1,-1,-1,-1,-1
3971,-1,-1,-1,-1,-1,-1,-1,-1
3973,-1,-1,-1,-1,-1,-1,-1,-1
3975,-1,-1,-1,-1,-1,-1,-1,-1
3977,-1,-1,-1,-1,-1,-1,-1,-1
3979,-1,-1,-1,-1,-1,-1,-1,-1
3981,-1,-1,-1,-1,-1,-1,-1,-1
3983,-1,-1,-1,-1,-1,-1,-1,-1
3985,-1,-1,-1,-1,-1,-1,-1,-1
3987,-1,-1,-1,-1,-1,-1,-1,-1
3989,-1,-1,-1,-1,-1,-1,-1,-1
3991,-1,-1,-1,-1,-1,-1,-1,-1
3993,-1,-1,-1,-1,-1,-1,-1,-1
3995,-1,-1,-1,-1,-1,-1,-1,-1
3997,-1,-1,-1,-1,-1,-1,-1,-1
3999,-1,-1,-1,-1,-1,-1,-1,-1
4001,-1,-1,-1,-1,-1,-1,-1,-1
4003,-1,-1,-1,-1,-1,-1,-1,-1
4005,-1,-1,-1,-1,-1,-1,-1,-1
4007,-1,-1,-1,-1,-1,-1,-1,-1
4009,-1,-1,-1,-1,-1,-1,-1,-1
4011,-1,-1,-1,-1,-1,-1,-1,-1
4013,-1,-1,-1,-1,-1,-1,-1,-1
4015,-1,-1,-1,-1,-1,-1,-1,-1
4017,-1,-1,-1,-1,-1,-1,-1,-1
4019,-1,-1,-1,-1,-1,-1,-1,-1
4021,-1,-1,-1,-1,-1,-1,-1,-1
4023,-1,-1,-1,-1,-1,-1,-1,-1
4025,-1,-1,-1,-1,-1,-1,-1,-1
4027,-1,-1,-1,-1,-1,-1,-1,-1
4029,-1,-1,-1,-1,-1,-1,-1,-1
4031,-1,-1,-1,-1,-1,-1,-1,-1
4033,-1,-1,-1,-1,-1,-1,-1,-1
4035,-1,-1,-1,-1,-1,-1,-1,-1
4037,-1,-1,-1,-1,-1,-1,-1,-1
4039,-1,-1,-1,-1,-1,-1,-1,-1
4041,-1,-1,-1,-1,-1,-1,-1,-1
4043,-1,-1,-1,-1,-1,-1,-1,-1
4045,-1,-1,-1,-1,-1,-1,-1,-1
4047,-1,-1,-1,-1,-1,-1,-1,-1
4049,-1,-1,-1,-1,-1,-1,-1,-1
4051,-1,-1,-1,-1,-1,-1,-1,-1
4053,-1,-1,-1,-1,-1,-1,-1,-1
4055,-1,-1,-1,-1,-1,-1,-1,-1
4057,-1,-1,-1,-1,-1,-1,-1,-1
4059,-1,-1,-1,-1,-1,-1,-1,-1
4061,-1,-1,-1,-1,-1,-1,-1,-1
4063,-1,-1,-1,-1,-1,-1,-1,-1
4065,-1,-1,-1,-1,-1,-1,-1,-1
4927,-1,-1,-1,-1,-1,-1,-1,-1
4929,-1,-1,-1,-1,-1,-1,-1,-1
4931,-1,-1,-1,-1,-1,-1,-1,-1
4933,-1,-1,-1,-1,-1,-1,-1,-1
4935,-1,-1,-1,-1,-1,-1,-1,-1
4937,-1,-1,-1,-1,-1,-1,-1,-1
4939,-1,-1,-1,-1,-1,-1,-1,-1
4941,-1,-1,-1,-1,-1,-1,-1,-1
4943,-1,-1,-1,-1,-1,-1,-1,-1
4945,-1,-1,-1,-1,-1,-1,-1,-1
4947,-1,-1,-1,-1,-1,-1,-1,-1
4949,-1,-1,-1,-1,-1,-1,-1,-1
4951,-1,-1,-1,-1,-1,-1,-1,-1
4953,-1,-1,-1,-1,-1,-1,-1,-1
4955,-1,-1,-1,-1,-1,-1,-1,-1
4957,-1,-1,-1,-1,-1,-1,-1,-1
4959,-1,-1,-1,-1,-1,-1,-1,-1
4961,-1,-1,-1,-1,-1,-1,-1,-1
4963,-1,-1,-1,-1,-1,-1,-1,-1
4965,-1,-1,-1,-1,-1,-1,-1,-1
4967,-1,-1,-1,-1,-1,-1,-1,-1
4969,-1,-1,-1,-1,-1,-1,-1,-1
4971,-1,-1,-1,-1,-1,-1,-1,-1
4973,-1,-1,-1,-1,-1,-1,-1,-1
4975,-1,-1,-1,-1,-1,-1,-1,-1
4977,-1,-1,-1,-1,-1,-1,-1,-1
4979,-1,-1,-1,-1,-1,-1,-1,-1
4981,-1,-1,-1,-1,-1,-1,-1,-1
4983,-1,-1,-1,-1,-1,-1,-1,-1
4985,-1,-1,-1,-1,-1,-1,-1,-1
4987,-1,-1,-1,-1,-1,-1,-1,-1
4989,-1,-1,-1,-1,-1,-1,-1,-1
4991,-1,-1,-1,-1,-1,-1,-1,-1
4993,-1,-1,-1,-1,-1,-1,-1,-1
4995,-1,-1,-1,-1,-1,-1,-1,-1
4997,-1,-1,-1,-1,-1,-1,-1,-1
4999,-1,-1,-1,-1,-1,-1,-1,-1
