JPGNumber,Race 0 Bubble 0,Race 0 Bubble 1,Race 0 Bubble 2,Race 0 Bubble 3,Race 0 Bubble 4,Race 0 Bubble 5,Race 0 Bubble 6
1957,0,1,1,1,0,0,0
1959,0,0,0,2,0,0,0
1961,1,1,0,1,0,0,0
1963,1,1,1,0,0,0,0
1965,-1,-1,-1,-1,-1,-1,-1
1967,-1,-1,-1,-1,-1,-1,-1
1969,-1,-1,-1,-1,-1,-1,-1
1971,-1,-1,-1,-1,-1,-1,-1
1973,-1,-1,-1,-1,-1,-1,-1
1975,-1,-1,-1,-1,-1,-1,-1
1977,-1,-1,-1,-1,-1,-1,-1
1979,-1,-1,-1,-1,-1,-1,-1
1981,-1,-1,-1,-1,-1,-1,-1
1983,-1,-1,-1,-1,-1,-1,-1
1985,-1,-1,-1,-1,-1,-1,-1
1987,-1,-1,-1,-1,-1,-1,-1
5577,-1,-1,-1,-1,-1,-1,-1
5579,-1,-1,-1,-1,-1,-1,-1
5581,-1,-1,-1,-1,-1,-1,-1
5583,-1,-1,-1,-1,-1,-1,-1
5585,-1,-1,-1,-1,-1,-1,-1
5587,-1,-1,-1,-1,-1,-1,-1
5589,-1,-1,-1,-1,-1,-1,-1
5591,-1,-1,-1,-1,-1,-1,-1
5593,-1,-1,-1,-1,-1,-1,-1
5595,-1,-1,-1,-1,-1,-1,-1
5597,-1,-1,-1,-1,-1,-1,-1
13549,-1,-1,-1,-1,-1,-1,-1
13551,-1,-1,-1,-1,-1,-1,-1
13553,-1,-1,-1,-1,-1,-1,-1
13555,-1,-1,-1,-1,-1,-1,-1
13557,-1,-1,-1,-1,-1,-1,-1
13559,-1,-1,-1,-1,-1,-1,-1
13561,-1,-1,-1,-1,-1,-1,-1
13563,-1,-1,-1,-1,-1,-1,-1
13565,-1,-1,-1,-1,-1,-1,-1
13567,-1,-1,-1,-1,-1,-1,-1
13569,-1,-1,-1,-1,-1,-1,-1
13571,-1,-1,-1,-1,-1,-1,-1
13573,-1,-1,-1,-1,-1,-1,-1
13575,-1,-1,-1,-1,-1,-1,-1
13577,-1,-1,-1,-1,-1,-1,-1
13579,-1,-1,-1,-1,-1,-1,-1
13581,-1,-1,-1,-1,-1,-1,-1
13583,-1,-1,-1,-1,-1,-1,-1
13585,-1,-1,-1,-1,-1,-1,-1
13587,-1,-1,-1,-1,-1,-1,-1
13589,-1,-1,-1,-1,-1,-1,-1
13591,-1,-1,-1,-1,-1,-1,-1
13593,-1,-1,-1,-1,-1,-1,-1
13595,-1,-1,-1,-1,-1,-1,-1
13597,-1,-1,-1,-1,-1,-1,-1
13599,-1,-1,-1,-1,-1,-1,-1
13601,-1,-1,-1,-1,-1,-1,-1
13603,-1,-1,-1,-1,-1,-1,-1
13605,-1,-1,-1,-1,-1,-1,-1
13607,-1,-1,-1,-1,-1,-1,-1
13609,-1,-1,-1,-1,-1,-1,-1
13633,-1,-1,-1,-1,-1,-1,-1
13635,-1,-1,-1,-1,-1,-1,-1
13637,-1,-1,-1,-1,-1,-1,-1
13639,-1,-1,-1,-1,-1,-1,-1
31999,-1,-1,-1,-1,-1,-1,-1
32001,-1,-1,-1,-1,-1,-1,-1
32003,-1,-1,-1,-1,-1,-1,-1
32005,-1,-1,-1,-1,-1,-1,-1
32007,-1,-1,-1,-1,-1,-1,-1
32009,-1,-1,-1,-1,-1,-1,-1
32011,-1,-1,-1,-1,-1,-1,-1
32013,-1,-1,-1,-1,-1,-1,-1
32015,-1,-1,-1,-1,-1,-1,-1
32017,-1,-1,-1,-1,-1,-1,-1
32019,-1,-1,-1,-1,-1,-1,-1
32021,-1,-1,-1,-1,-1,-1,-1
32023,-1,-1,-1,-1,-1,-1,-1
32025,-1,-1,-1,-1,-1,-1,-1
32027,-1,-1,-1,-1,-1,-1,-1
32029,-1,-1,-1,-1,-1,-1,-1
32031,-1,-1,-1,-1,-1,-1,-1
32033,-1,-1,-1,-1,-1,-1,-1
32035,-1,-1,-1,-1,-1,-1,-1
32037,-1,-1,-1,-1,-1,-1,-1
32039,-1,-1,-1,-1,-1,-1,-1
32041,-1,-1,-1,-1,-1,-1,-1
32043,-1,-1,-1,-1,-1,-1,-1
32045,-1,-1,-1,-1,-1,-1,-1
32047,-1,-1,-1,-1,-1,-1,-1
32049,-1,-1,-1,-1,-1,-1,-1
32051,-1,-1,-1,-1,-1,-1,-1
32053,-1,-1,-1,-1,-1,-1,-1
32055,-1,-1,-1,-1,-1,-1,-1
32057,-1,-1,-1,-1,-1,-1,-1
32059,-1,-1,-1,-1,-1,-1,-1
32061,-1,-1,-1,-1,-1,-1,-1
32063,-1,-1,-1,-1,-1,-1,-1
32065,-1,-1,-1,-1,-1,-1,-1
32067,-1,-1,-1,-1,-1,-1,-1
32069,-1,-1,-1,-1,-1,-1,-1
32071,-1,-1,-1,-1,-1,-1,-1
32073,-1,-1,-1,-1,-1,-1,-1
32075,-1,-1,-1,-1,-1,-1,-1
32077,-1,-1,-1,-1,-1,-1,-1
32079,-1,-1,-1,-1,-1,-1,-1
32081,-1,-1,-1,-1,-1,-1,-1
32083,-1,-1,-1,-1,-1,-1,-1
32085,-1,-1,-1,-1,-1,-1,-1
32087,-1,-1,-1,-1,-1,-1,-1
32089,-1,-1,-1,-1,-1,-1,-1
32091,-1,-1,-1,-1,-1,-1,-1
32093,-1,-1,-1,-1,-1,-1,-1
32095,-1,-1,-1,-1,-1,-1,-1
32097,-1,-1,-1,-1,-1,-1,-1
32099,-1,-1,-1,-1,-1,-1,-1
32101,-1,-1,-1,-1,-1,-1,-1
32103,-1,-1,-1,-1,-1,-1,-1
32105,-1,-1,-1,-1,-1,-1,-1
32107,-1,-1,-1,-1,-1,-1,-1
32109,-1,-1,-1,-1,-1,-1,-1
32111,-1,-1,-1,-1,-1,-1,-1
32113,-1,-1,-1,-1,-1,-1,-1
32115,-1,-1,-1,-1,-1,-1,-1
32117,-1,-1,-1,-1,-1,-1,-1
32119,-1,-1,-1,-1,-1,-1,-1
32121,-1,-1,-1,-1,-1,-1,-1
32123,-1,-1,-1,-1,-1,-1,-1
32125,-1,-1,-1,-1,-1,-1,-1
32127,-1,-1,-1,-1,-1,-1,-1
32129,-1,-1,-1,-1,-1,-1,-1
32131,-1,-1,-1,-1,-1,-1,-1
32133,-1,-1,-1,-1,-1,-1,-1
32135,-1,-1,-1,-1,-1,-1,-1
32137,-1,-1,-1,-1,-1,-1,-1
32139,-1,-1,-1,-1,-1,-1,-1
32141,-1,-1,-1,-1,-1,-1,-1
32143,-1,-1,-1,-1,-1,-1,-1
32145,-1,-1,-1,-1,-1,-1,-1
32147,-1,-1,-1,-1,-1,-1,-1
32149,-1,-1,-1,-1,-1,-1,-1
32151,-1,-1,-1,-1,-1,-1,-1
32153,-1,-1,-1,-1,-1,-1,-1
32155,-1,-1,-1,-1,-1,-1,-1
32157,-1,-1,-1,-1,-1,-1,-1
32159,-1,-1,-1,-1,-1,-1,-1
32193,-1,-1,-1,-1,-1,-1,-1
34793,-1,-1,-1,-1,-1,-1,-1
34795,-1,-1,-1,-1,-1,-1,-1
