JPGNumber,Race 0 Bubble 0,Race 0 Bubble 1,Race 0 Bubble 2,Race 0 Bubble 3,Race 0 Bubble 4,Race 0 Bubble 5,Race 0 Bubble 6
1330,1,1,1,0,0,0,0
1332,1,1,1,0,0,0,0
1334,1,1,1,0,0,0,0
1336,1,1,1,0,0,0,0
1338,1,0,1,1,0,0,0
1340,1,1,0,0,0,0,0
1604,1,1,0,1,0,0,0
1606,1,1,1,0,0,0,0
1608,0,0,0,0,0,0,0
1610,1,0,0,0,0,0,0
1612,1,1,0,1,0,0,0
1614,1,1,1,0,0,0,0
1616,1,1,1,0,0,0,0
1618,1,1,1,0,0,0,0
1620,0,0,0,0,0,0,0
1622,0,1,0,0,0,0,0
1624,0,1,0,1,0,0,0
1626,0,0,0,0,0,0,0
1628,0,0,0,0,0,0,0
1630,2,2,0,2,0,0,0
1632,0,2,2,2,0,0,0
1634,1,1,1,0,0,0,0
1636,1,1,0,0,0,0,0
1638,1,1,1,0,0,0,0
1640,1,1,0,1,0,0,0
1642,4,4,4,0,0,0,0
1644,4,4,4,0,0,0,0
1646,1,1,0,1,0,0,0
1648,0,0,0,0,0,0,0
1650,4,1,0,1,0,0,0
1652,1,1,0,0,0,0,0
1654,0,0,0,0,0,0,0
1656,1,1,0,1,0,0,0
1658,1,0,0,1,0,0,0
1660,1,1,0,1,0,0,0
1662,1,1,1,0,0,0,0
1664,1,1,1,0,0,0,0
1666,1,4,4,0,0,0,0
1668,1,0,1,1,0,0,0
1670,1,1,0,1,0,0,0
1672,1,1,0,1,0,0,0
1674,1,1,0,1,0,0,0
1676,1,0,0,1,0,0,0
1678,0,1,0,1,0,0,0
1680,1,1,1,0,0,0,0
1682,1,1,1,0,0,0,0
1684,1,0,1,1,0,0,0
1686,1,0,1,1,0,0,0
1688,0,0,0,4,0,0,0
1690,1,1,0,1,0,0,0
1918,1,1,1,0,0,0,0
1920,0,0,0,1,0,0,0
1922,0,1,0,0,0,0,0
1924,1,1,1,0,0,0,0
1926,4,0,4,4,0,0,0
1928,1,1,1,0,0,0,0
1930,1,1,0,1,0,0,0
