JPGNumber,Race 0 Bubble 0,Race 0 Bubble 1,Race 0 Bubble 2,Race 0 Bubble 3,Race 0 Bubble 4,Race 0 Bubble 5,Race 0 Bubble 6
1917,-1,-1,-1,-1,-1,-1,-1
1919,-1,-1,-1,-1,-1,-1,-1
1921,-1,-1,-1,-1,-1,-1,-1
1923,-1,-1,-1,-1,-1,-1,-1
1925,-1,-1,-1,-1,-1,-1,-1
1927,-1,-1,-1,-1,-1,-1,-1
1929,-1,-1,-1,-1,-1,-1,-1
1931,-1,-1,-1,-1,-1,-1,-1
1933,-1,-1,-1,-1,-1,-1,-1
1935,-1,-1,-1,-1,-1,-1,-1
1937,-1,-1,-1,-1,-1,-1,-1
1939,-1,-1,-1,-1,-1,-1,-1
1941,-1,-1,-1,-1,-1,-1,-1
1943,-1,-1,-1,-1,-1,-1,-1
1945,-1,-1,-1,-1,-1,-1,-1
1947,-1,-1,-1,-1,-1,-1,-1
1949,-1,-1,-1,-1,-1,-1,-1
1951,-1,-1,-1,-1,-1,-1,-1
1953,-1,-1,-1,-1,-1,-1,-1
1955,-1,-1,-1,-1,-1,-1,-1
2009,-1,-1,-1,-1,-1,-1,-1
2011,-1,-1,-1,-1,-1,-1,-1
2013,-1,-1,-1,-1,-1,-1,-1
2015,-1,-1,-1,-1,-1,-1,-1
2017,-1,-1,-1,-1,-1,-1,-1
2019,-1,-1,-1,-1,-1,-1,-1
2021,-1,-1,-1,-1,-1,-1,-1
2023,-1,-1,-1,-1,-1,-1,-1
2025,-1,-1,-1,-1,-1,-1,-1
2027,-1,-1,-1,-1,-1,-1,-1
2029,-1,-1,-1,-1,-1,-1,-1
2031,-1,-1,-1,-1,-1,-1,-1
2033,-1,-1,-1,-1,-1,-1,-1
2035,-1,-1,-1,-1,-1,-1,-1
2037,-1,-1,-1,-1,-1,-1,-1
2039,-1,-1,-1,-1,-1,-1,-1
2041,-1,-1,-1,-1,-1,-1,-1
2043,-1,-1,-1,-1,-1,-1,-1
2045,-1,-1,-1,-1,-1,-1,-1
2047,-1,-1,-1,-1,-1,-1,-1
2049,-1,-1,-1,-1,-1,-1,-1
2051,-1,-1,-1,-1,-1,-1,-1
2053,-1,-1,-1,-1,-1,-1,-1
2055,-1,-1,-1,-1,-1,-1,-1
2057,-1,-1,-1,-1,-1,-1,-1
2059,-1,-1,-1,-1,-1,-1,-1
2803,-1,-1,-1,-1,-1,-1,-1
2805,-1,-1,-1,-1,-1,-1,-1
2807,-1,-1,-1,-1,-1,-1,-1
2809,-1,-1,-1,-1,-1,-1,-1
2811,-1,-1,-1,-1,-1,-1,-1
2813,-1,-1,-1,-1,-1,-1,-1
2815,-1,-1,-1,-1,-1,-1,-1
2817,-1,-1,-1,-1,-1,-1,-1
2819,-1,-1,-1,-1,-1,-1,-1
2821,-1,-1,-1,-1,-1,-1,-1
2823,-1,-1,-1,-1,-1,-1,-1
2825,-1,-1,-1,-1,-1,-1,-1
2827,-1,-1,-1,-1,-1,-1,-1
2829,-1,-1,-1,-1,-1,-1,-1
