JPGNumber,RaceNumber,BubbleNumber,Actual,Baseline,CNN
817,0,0,0,0,-1
817,0,1,1,1,-1
817,0,2,0,0,-1
819,0,0,1,1,-1
819,0,1,0,0,-1
819,0,2,0,0,-1
821,0,0,1,1,-1
821,0,1,0,0,-1
821,0,2,0,0,-1
823,0,0,0,0,-1
823,0,1,1,1,-1
823,0,2,0,0,-1
825,0,0,0,0,-1
825,0,1,1,1,-1
825,0,2,0,0,-1
827,0,0,1,1,-1
827,0,1,0,0,-1
827,0,2,0,0,-1
829,0,0,0,0,-1
829,0,1,1,1,-1
829,0,2,0,0,-1
831,0,0,0,0,-1
831,0,1,1,1,-1
831,0,2,0,0,-1
833,0,0,0,0,-1
833,0,1,1,1,-1
833,0,2,0,0,-1
835,0,0,0,0,-1
835,0,1,1,1,-1
835,0,2,0,0,-1
837,0,0,0,0,-1
837,0,1,1,1,-1
837,0,2,0,0,-1
839,0,0,1,1,-1
839,0,1,0,0,-1
839,0,2,0,0,-1
841,0,0,1,1,-1
841,0,1,0,0,-1
841,0,2,0,0,-1
843,0,0,1,1,-1
843,0,1,0,0,-1
843,0,2,0,0,-1
845,0,0,1,1,-1
845,0,1,0,0,-1
845,0,2,0,0,-1
847,0,0,0,0,-1
847,0,1,1,1,-1
847,0,2,0,0,-1
849,0,0,0,0,-1
849,0,1,1,1,-1
849,0,2,0,0,-1
851,0,0,0,0,-1
851,0,1,1,1,-1
851,0,2,0,0,-1
853,0,0,0,0,-1
853,0,1,1,1,-1
853,0,2,0,0,-1
855,0,0,0,0,-1
855,0,1,1,1,-1
855,0,2,0,0,-1
857,0,0,1,1,-1
857,0,1,0,0,-1
857,0,2,0,0,-1
987,0,0,0,0,-1
987,0,1,1,1,-1
987,0,2,0,0,-1
989,0,0,0,0,-1
989,0,1,1,1,-1
989,0,2,0,0,-1
991,0,0,1,1,-1
991,0,1,0,0,-1
991,0,2,0,0,-1
993,0,0,0,0,-1
993,0,1,1,1,-1
993,0,2,0,0,-1
995,0,0,0,0,-1
995,0,1,1,1,-1
995,0,2,0,0,-1
997,0,0,1,1,-1
997,0,1,0,0,-1
997,0,2,0,0,-1
999,0,0,1,1,-1
999,0,1,0,0,-1
999,0,2,0,0,-1
1001,0,0,0,0,-1
1001,0,1,1,1,-1
1001,0,2,0,0,-1
1003,0,0,0,0,-1
1003,0,1,1,1,-1
1003,0,2,0,0,-1
1005,0,0,0,0,-1
1005,0,1,1,1,-1
1005,0,2,0,0,-1
1007,0,0,0,0,-1
1007,0,1,1,1,-1
1007,0,2,0,0,-1
1009,0,0,0,0,-1
1009,0,1,1,1,-1
1009,0,2,0,0,-1
