JPGNumber,RaceNumber,BubbleNumber,Actual,Baseline,CNN
734,0,0,0,0,-1
734,0,1,0,0,-1
734,0,2,0,0,-1
734,0,3,1,1,-1
734,0,4,0,0,-1
734,0,5,0,0,-1
734,0,6,0,0,-1
734,1,0,0,0,-1
734,1,1,1,1,-1
734,1,2,0,0,-1
736,0,0,0,0,-1
736,0,1,0,0,-1
736,0,2,0,0,-1
736,0,3,1,1,-1
736,0,4,0,0,-1
736,0,5,0,0,-1
736,0,6,0,0,-1
736,1,0,0,0,-1
736,1,1,1,1,-1
736,1,2,0,0,-1
738,0,0,1,1,-1
738,0,1,1,1,-1
738,0,2,0,0,-1
738,0,3,1,1,-1
738,0,4,0,0,-1
738,0,5,0,0,-1
738,0,6,0,0,-1
738,1,0,1,1,-1
738,1,1,0,0,-1
738,1,2,0,0,-1
740,0,0,1,2,-1
740,0,1,1,2,-1
740,0,2,0,2,-1
740,0,3,1,2,-1
740,0,4,0,2,-1
740,0,5,0,2,-1
740,0,6,0,2,-1
740,1,0,0,2,-1
740,1,1,1,2,-1
740,1,2,0,2,-1
742,0,0,1,1,-1
742,0,1,1,1,-1
742,0,2,0,0,-1
742,0,3,1,1,-1
742,0,4,0,0,-1
742,0,5,0,0,-1
742,0,6,0,0,-1
742,1,0,0,0,-1
742,1,1,1,1,-1
742,1,2,0,0,-1
744,0,0,0,0,-1
744,0,1,0,0,-1
744,0,2,0,0,-1
744,0,3,1,1,-1
744,0,4,0,0,-1
744,0,5,0,0,-1
744,0,6,0,0,-1
744,1,0,0,0,-1
744,1,1,1,1,-1
744,1,2,0,0,-1
746,0,0,1,1,-1
746,0,1,0,0,-1
746,0,2,1,1,-1
746,0,3,1,1,-1
746,0,4,0,0,-1
746,0,5,0,0,-1
746,0,6,0,0,-1
746,1,0,0,0,-1
746,1,1,1,1,-1
746,1,2,0,0,-1
748,0,0,1,1,-1
748,0,1,1,1,-1
748,0,2,0,0,-1
748,0,3,1,1,-1
748,0,4,0,0,-1
748,0,5,0,0,-1
748,0,6,0,0,-1
748,1,0,0,0,-1
748,1,1,1,1,-1
748,1,2,0,0,-1
750,0,0,0,0,-1
750,0,1,0,0,-1
750,0,2,0,0,-1
750,0,3,1,1,-1
750,0,4,0,0,-1
750,0,5,0,0,-1
750,0,6,0,0,-1
750,1,0,0,0,-1
750,1,1,1,1,-1
750,1,2,0,0,-1
752,0,0,1,1,-1
752,0,1,0,0,-1
752,0,2,0,0,-1
752,0,3,0,0,-1
752,0,4,0,0,-1
752,0,5,0,0,-1
752,0,6,0,0,-1
752,1,0,0,0,-1
752,1,1,1,1,-1
752,1,2,0,0,-1
2338,0,0,1,1,-1
2338,0,1,1,1,-1
2338,0,2,1,1,-1
2338,0,3,0,0,-1
2338,0,4,0,0,-1
2338,0,5,0,0,-1
2338,0,6,0,0,-1
2338,1,0,1,1,-1
2338,1,1,0,0,-1
2338,1,2,0,0,-1
2340,0,0,1,1,-1
2340,0,1,1,1,-1
2340,0,2,1,1,-1
2340,0,3,0,0,-1
2340,0,4,0,0,-1
2340,0,5,0,0,-1
2340,0,6,0,0,-1
2340,1,0,1,1,-1
2340,1,1,0,0,-1
2340,1,2,0,0,-1
2342,0,0,1,2,-1
2342,0,1,1,2,-1
2342,0,2,1,2,-1
2342,0,3,0,2,-1
2342,0,4,0,2,-1
2342,0,5,0,2,-1
2342,0,6,0,2,-1
2342,1,0,0,2,-1
2342,1,1,1,2,-1
2342,1,2,0,2,-1
2344,0,0,1,1,-1
2344,0,1,1,1,-1
2344,0,2,1,1,-1
2344,0,3,0,0,-1
2344,0,4,0,0,-1
2344,0,5,0,0,-1
2344,0,6,0,0,-1
2344,1,0,0,0,-1
2344,1,1,1,1,-1
2344,1,2,0,0,-1
2346,0,0,1,1,-1
2346,0,1,1,1,-1
2346,0,2,0,0,-1
2346,0,3,1,1,-1
2346,0,4,0,0,-1
2346,0,5,0,0,-1
2346,0,6,0,0,-1
2346,1,0,0,0,-1
2346,1,1,0,0,-1
2346,1,2,0,0,-1
2348,0,0,1,1,-1
2348,0,1,1,1,-1
2348,0,2,0,0,-1
2348,0,3,1,1,-1
2348,0,4,0,0,-1
2348,0,5,0,0,-1
2348,0,6,0,0,-1
2348,1,0,0,0,-1
2348,1,1,1,1,-1
2348,1,2,0,0,-1
2350,0,0,1,1,-1
2350,0,1,0,0,-1
2350,0,2,1,1,-1
2350,0,3,1,1,-1
2350,0,4,0,0,-1
