file,page_type
_00101_00047_000042_results.csv,0
_00101_00047_000032_results.csv,1
_00201_00047_000014_results.csv,2
_00201_00047_000008_results.csv,2
_00201_00047_000026_results.csv,2
_00101_00047_000015_results.csv,3
_00201_00047_000033_results.csv,0
_00201_00047_000043_results.csv,2
_00101_00047_000027_results.csv,0
_00201_00047_000001_results.csv,2
_00101_00047_000009_results.csv,3
_00201_00047_000018_results.csv,2
_00201_00047_000046_results.csv,2
_00201_00047_000036_results.csv,2
_00101_00047_000010_results.csv,0
_00201_00047_000004_results.csv,0
_00101_00047_000022_results.csv,0
_00201_00047_000011_results.csv,2
_00101_00047_000037_results.csv,0
_00101_00047_000047_results.csv,0
_00101_00047_000019_results.csv,0
_00201_00047_000023_results.csv,2
_00101_00047_000005_results.csv,0
_00101_00047_000028_results.csv,3
_00201_00047_000050_results.csv,2
_00101_00047_000006_results.csv,2
_00201_00047_000020_results.csv,2
_00101_00047_000034_results.csv,0
_00201_00047_000012_results.csv,2
_00101_00047_000044_results.csv,0
_00101_00047_000021_results.csv,0
_00201_00047_000007_results.csv,2
_00201_00047_000029_results.csv,2
_00201_00047_000045_results.csv,3
_00101_00047_000013_results.csv,0
_00201_00047_000035_results.csv,2
_00201_00047_000002_results.csv,2
_00101_00047_000024_results.csv,4
_00101_00047_000038_results.csv,4
_00101_00047_000048_results.csv,0
_00201_00047_000030_results.csv,2
_00101_00047_000016_results.csv,1
_00201_00047_000040_results.csv,2
_00201_00047_000025_results.csv,2
_00101_00047_000003_results.csv,0
_00101_00047_000041_results.csv,0
_00201_00047_000017_results.csv,2
_00101_00047_000031_results.csv,4
_00201_00047_000049_results.csv,2
_00201_00047_000039_results.csv,2
_00101_00047_000004_results.csv,4
_00201_00047_000022_results.csv,2
_00101_00047_000046_results.csv,0
_00101_00047_000036_results.csv,0
_00201_00047_000010_results.csv,2
_00101_00047_000018_results.csv,0
_00101_00047_000023_results.csv,2
_00201_00047_000005_results.csv,2
_00201_00047_000019_results.csv,2
_00101_00047_000011_results.csv,1
_00201_00047_000037_results.csv,2
_00201_00047_000047_results.csv,2
_00101_00047_000026_results.csv,4
_00101_00047_000008_results.csv,1
_00201_00047_000042_results.csv,2
_00201_00047_000032_results.csv,2
_00101_00047_000014_results.csv,3
_00201_00047_000009_results.csv,2
_00201_00047_000027_results.csv,2
_00101_00047_000001_results.csv,0
_00201_00047_000015_results.csv,2
_00101_00047_000033_results.csv,0
_00101_00047_000043_results.csv,0
_00101_00047_000030_results.csv,4
_00201_00047_000016_results.csv,2
_00101_00047_000040_results.csv,0
_00201_00047_000038_results.csv,2
_00201_00047_000048_results.csv,2
_00101_00047_000002_results.csv,2
_00201_00047_000024_results.csv,2
_00101_00047_000049_results.csv,0
_00101_00047_000039_results.csv,0
_00201_00047_000041_results.csv,2
_00101_00047_000017_results.csv,1
_00201_00047_000031_results.csv,2
_00101_00047_000025_results.csv,0
_00201_00047_000003_results.csv,2
_00201_00047_000034_results.csv,2
_00101_00047_000012_results.csv,3
_00201_00047_000044_results.csv,2
_00101_00047_000050_results.csv,5
_00201_00047_000006_results.csv,2
_00101_00047_000020_results.csv,4
_00201_00047_000028_results.csv,2
_00101_00047_000045_results.csv,0
