JPG,Race,Bubble,Label
2,0,0,1
2,0,1,1
2,0,2,1
2,0,3,0
2,0,4,0
2,0,5,0
2,0,6,0
2,1,0,0
2,1,1,0
2,1,2,1
2,1,3,0
2,1,4,0
2,1,5,1
2,1,6,1
2,1,7,0
2,1,8,0
4,0,0,1
4,0,1,1
4,0,2,0
4,0,3,1
4,0,4,0
4,0,5,0
4,0,6,0
4,1,0,1
4,1,1,0
4,1,2,1
4,1,3,0
4,1,4,1
4,1,5,0
4,1,6,0
4,1,7,0
4,1,8,0
8,0,0,1
8,0,1,1
8,0,2,1
8,0,3,0
8,0,4,0
8,0,5,0
8,0,6,0
8,1,0,0
8,1,1,0
8,1,2,1
8,1,3,1
8,1,4,0
8,1,5,1
8,1,6,0
8,1,7,0
8,1,8,0
10,0,0,1
10,0,1,1
10,0,2,1
10,0,3,0
10,0,4,0
10,0,5,0
10,0,6,0
10,1,0,1
10,1,1,0
10,1,2,1
10,1,3,0
10,1,4,0
10,1,5,1
10,1,6,0
10,1,7,0
10,1,8,0
12,0,0,1
12,0,1,1
12,0,2,1
12,0,3,0
12,0,4,0
12,0,5,0
12,0,6,0
12,1,0,1
12,1,1,0
12,1,2,1
12,1,3,0
12,1,4,0
12,1,5,1
12,1,6,0
12,1,7,0
12,1,8,0
14,0,0,1
14,0,1,1
14,0,2,0
14,0,3,1
14,0,4,0
14,0,5,0
14,0,6,0
14,1,0,0
14,1,1,0
14,1,2,1
14,1,3,1
14,1,4,0
14,1,5,1
14,1,6,0
14,1,7,0
14,1,8,0
16,0,0,1
16,0,1,1
16,0,2,1
16,0,3,0
16,0,4,0
16,0,5,0
16,0,6,0
16,1,0,1
16,1,1,0
16,1,2,1
16,1,3,0
16,1,4,0
16,1,5,1
16,1,6,0
16,1,7,0
16,1,8,0
18,0,0,0
18,0,1,1
18,0,2,1
18,0,3,1
18,0,4,0
18,0,5,0
18,0,6,0
18,1,0,1
18,1,1,0
18,1,2,1
18,1,3,0
18,1,4,0
18,1,5,1
18,1,6,0
18,1,7,0
18,1,8,0
20,0,0,1
20,0,1,1
20,0,2,1
20,0,3,0
20,0,4,0
20,0,5,0
20,0,6,0
20,1,0,0
20,1,1,0
20,1,2,1
20,1,3,1
20,1,4,0
20,1,5,1
20,1,6,0
20,1,7,0
20,1,8,0
22,0,0,1
22,0,1,1
22,0,2,1
22,0,3,0
22,0,4,0
22,0,5,0
22,0,6,0
22,1,0,0
22,1,1,0
22,1,2,1
22,1,3,1
22,1,4,0
22,1,5,1
22,1,6,0
22,1,7,0
22,1,8,0
24,0,0,1
24,0,1,1
24,0,2,0
24,0,3,1
24,0,4,0
24,0,5,0
24,0,6,0
24,1,0,1
24,1,1,0
24,1,2,0
24,1,3,0
24,1,4,1
24,1,5,1
24,1,6,0
24,1,7,0
24,1,8,0
26,0,0,4
26,0,1,1
26,0,2,0
26,0,3,1
26,0,4,0
26,0,5,0
26,0,6,0
26,1,0,0
26,1,1,0
26,1,2,1
26,1,3,1
26,1,4,1
26,1,5,0
26,1,6,0
26,1,7,0
26,1,8,0
28,0,0,4
28,0,1,4
28,0,2,4
28,0,3,0
28,0,4,0
28,0,5,0
28,0,6,0
28,1,0,4
28,1,1,0
28,1,2,0
28,1,3,0
28,1,4,4
28,1,5,4
28,1,6,0
28,1,7,0
28,1,8,0
30,0,0,1
30,0,1,1
30,0,2,1
30,0,3,0
30,0,4,0
30,0,5,0
30,0,6,0
30,1,0,1
30,1,1,0
30,1,2,1
30,1,3,0
30,1,4,1
30,1,5,0
30,1,6,0
30,1,7,0
30,1,8,0
32,0,0,0
32,0,1,1
32,0,2,1
32,0,3,1
32,0,4,0
32,0,5,0
32,0,6,0
32,1,0,1
32,1,1,1
32,1,2,1
32,1,3,0
32,1,4,0
32,1,5,0
32,1,6,0
32,1,7,0
32,1,8,0
34,0,0,1
34,0,1,1
34,0,2,1
34,0,3,0
34,0,4,0
34,0,5,0
34,0,6,0
34,1,0,0
34,1,1,0
34,1,2,1
34,1,3,1
34,1,4,0
34,1,5,1
34,1,6,0
34,1,7,0
34,1,8,0
36,0,0,1
36,0,1,1
36,0,2,1
36,0,3,0
36,0,4,0
36,0,5,0
36,0,6,0
36,1,0,0
36,1,1,0
36,1,2,1
36,1,3,1
36,1,4,0
36,1,5,1
36,1,6,0
36,1,7,0
36,1,8,0
38,0,0,1
38,0,1,1
38,0,2,1
38,0,3,0
38,0,4,0
38,0,5,0
38,0,6,0
38,1,0,5
38,1,1,0
38,1,2,1
38,1,3,0
38,1,4,0
38,1,5,5
38,1,6,0
38,1,7,0
38,1,8,0
40,0,0,1
40,0,1,1
40,0,2,0
40,0,3,1
40,0,4,0
40,0,5,0
40,0,6,0
40,1,0,1
40,1,1,1
40,1,2,1
40,1,3,0
40,1,4,0
40,1,5,0
40,1,6,0
40,1,7,0
40,1,8,0
42,0,0,1
42,0,1,0
42,0,2,1
42,0,3,1
42,0,4,0
42,0,5,0
42,0,6,0
42,1,0,1
42,1,1,0
42,1,2,1
42,1,3,0
42,1,4,1
42,1,5,0
42,1,6,0
42,1,7,0
42,1,8,0
44,0,0,0
44,0,1,0
44,0,2,0
44,0,3,1
44,0,4,1
44,0,5,1
44,0,6,0
44,1,0,1
44,1,1,1
44,1,2,0
44,1,3,0
44,1,4,0
44,1,5,0
44,1,6,1
44,1,7,0
44,1,8,0
46,0,0,0
46,0,1,1
46,0,2,1
46,0,3,1
46,0,4,0
46,0,5,0
46,0,6,0
46,1,0,1
46,1,1,0
46,1,2,1
46,1,3,0
46,1,4,0
46,1,5,1
46,1,6,0
46,1,7,0
46,1,8,0
48,0,0,0
48,0,1,0
48,0,2,1
48,0,3,0
48,0,4,0
48,0,5,0
48,0,6,0
48,1,0,0
48,1,1,0
48,1,2,4
48,1,3,1
48,1,4,1
48,1,5,0
48,1,6,0
48,1,7,0
48,1,8,0
50,0,0,1
50,0,1,4
50,0,2,1
50,0,3,0
50,0,4,0
50,0,5,0
50,0,6,0
50,1,0,0
50,1,1,0
50,1,2,4
50,1,3,4
50,1,4,0
50,1,5,5
50,1,6,0
50,1,7,0
50,1,8,0
52,0,0,1
52,0,1,1
52,0,2,1
52,0,3,0
52,0,4,0
52,0,5,0
52,0,6,0
52,1,0,0
52,1,1,0
52,1,2,1
52,1,3,1
52,1,4,0
52,1,5,1
52,1,6,0
52,1,7,0
52,1,8,0
54,0,0,1
54,0,1,1
54,0,2,1
54,0,3,0
54,0,4,0
54,0,5,0
54,0,6,0
54,1,0,0
54,1,1,0
54,1,2,1
54,1,3,1
54,1,4,0
54,1,5,1
54,1,6,0
54,1,7,0
54,1,8,0
56,0,0,5
56,0,1,5
56,0,2,5
56,0,3,0
56,0,4,0
56,0,5,0
56,0,6,0
56,1,0,0
56,1,1,0
56,1,2,5
56,1,3,5
56,1,4,0
56,1,5,5
56,1,6,0
56,1,7,0
56,1,8,0
58,0,0,1
58,0,1,1
58,0,2,1
58,0,3,0
58,0,4,0
58,0,5,0
58,0,6,0
58,1,0,1
58,1,1,0
58,1,2,1
58,1,3,0
58,1,4,0
58,1,5,1
58,1,6,0
58,1,7,0
58,1,8,0
60,0,0,1
60,0,1,1
60,0,2,1
60,0,3,0
60,0,4,0
60,0,5,0
60,0,6,0
60,1,0,1
60,1,1,0
60,1,2,1
60,1,3,0
60,1,4,0
60,1,5,1
60,1,6,0
60,1,7,0
60,1,8,0
62,0,0,1
62,0,1,0
62,0,2,0
62,0,3,1
62,0,4,0
62,0,5,0
62,0,6,0
62,1,0,1
62,1,1,0
62,1,2,0
62,1,3,0
62,1,4,0
62,1,5,0
62,1,6,0
62,1,7,0
62,1,8,0
64,0,0,1
64,0,1,1
64,0,2,0
64,0,3,1
64,0,4,0
64,0,5,0
64,0,6,0
64,1,0,1
64,1,1,0
64,1,2,1
64,1,3,0
64,1,4,0
64,1,5,1
64,1,6,0
64,1,7,0
64,1,8,0
66,0,0,1
